cluster,accessories store,afghan restaurant,african restaurant,american restaurant,aquarium,arcade,arepa restaurant,argentinian restaurant,art gallery,arts & crafts store,asian restaurant,australian restaurant,automotive shop,bagel shop,bakery,bar,bbq joint,bed & breakfast,beer garden,bike rental / bike share,bike shop,board shop,boutique,bowling alley,brazilian restaurant,breakfast spot,burger joint,burrito place,cajun / creole restaurant,candy store,car dealership,car wash,caribbean restaurant,chinese restaurant,climbing gym,clothing store,cocktail bar,coffee shop,comedy club,convenience store,cosmetics shop,cuban restaurant,cupcake shop,deli / bodega,department store,dessert shop,dim sum restaurant,diner,dive bar,donut shop,dumpling restaurant,eastern european restaurant,electronics store,falafel restaurant,farmers market,fast food restaurant,ferry,filipino restaurant,fish & chips shop,fish market,flea market,flower shop,food,food & drink shop,food court,food truck,french restaurant,fried chicken joint,frozen yogurt,furniture / home store,gaming cafe,gas station / garage,gastropub,general travel,german restaurant,gift shop,gourmet shop,grocery store,gym,gym / fitness center,hookah bar,hot dog joint,ice cream shop,indian restaurant,indie movie theater,indie theater,indonesian restaurant,internet cafe,italian restaurant,japanese restaurant,jazz club,jewelry store,juice bar,karaoke bar,kids store,korean restaurant,latin american restaurant,laundry service,light rail,liquor store,lounge,mac & cheese joint,malaysian restaurant,market,mediterranean restaurant,men's store,mexican restaurant,middle eastern restaurant,miscellaneous shop,mobile phone shop,molecular gastronomy restaurant,moroccan restaurant,motel,motorcycle shop,movie theater,multiplex,music store,nail salon,new american restaurant,nightclub,optical shop,other nightlife,paella restaurant,park,pet store,piano bar,pizza place,plaza,portuguese restaurant,pub,public art,ramen /  noodle house,record shop,rental car location,resort,restaurant,rock club,salad place,salon / barbershop,sandwich place,scandinavian restaurant,seafood restaurant,shoe store,skate park,smoke shop,snack place,soup place,south american restaurant,spa / massage,spanish restaurant,speakeasy,sporting goods shop,sports bar,steakhouse,sushi restaurant,swiss restaurant,taco place,tailor shop,tanning salon,tapas restaurant,tea room,thai restaurant,theater,thrift / vintage store,train,turkish restaurant,vegetarian / vegan restaurant,video game store,video store,vietnamese restaurant,water park,whisky bar,wine bar,wine shop,wings joint,women's store,yoga studio,zoo
0,7.0,0.0,3.0,64.0,8.0,14.0,0.0,0.0,12.0,11.0,116.0,15.0,4.0,0.0,39.0,65.0,15.0,4.0,10.0,0.0,2.0,1.0,72.0,10.0,2.0,21.0,87.0,3.0,0.0,5.0,1.0,0.0,0.0,275.0,0.0,61.0,43.0,360.0,0.0,20.0,19.0,0.0,5.0,2.0,119.0,80.0,46.0,29.0,0.0,10.0,3.0,5.0,24.0,0.0,0.0,231.0,0.0,4.0,0.0,0.0,69.0,3.0,4.0,5.0,398.0,2.0,17.0,73.0,4.0,68.0,12.0,10.0,16.0,2.0,8.0,8.0,0.0,95.0,83.0,26.0,0.0,1.0,59.0,60.0,0.0,0.0,16.0,0.0,47.0,161.0,11.0,7.0,11.0,41.0,5.0,42.0,0.0,1.0,42.0,0.0,17.0,0.0,26.0,5.0,5.0,6.0,12.0,10.0,26.0,9.0,0.0,0.0,0.0,0.0,10.0,256.0,6.0,2.0,1.0,254.0,0.0,22.0,1.0,45.0,10.0,0.0,36.0,20.0,5.0,40.0,0.0,59.0,5.0,0.0,56.0,72.0,3.0,1.0,25.0,37.0,9.0,65.0,10.0,2.0,0.0,13.0,21.0,1.0,12.0,2.0,0.0,10.0,23.0,65.0,60.0,19.0,1.0,0.0,1.0,2.0,86.0,55.0,10.0,5.0,0.0,0.0,21.0,1.0,1.0,9.0,18.0,0.0,4.0,0.0,5.0,13.0,0.0,2.0
1,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,10.0,2.0,0.0,0.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,14.0,0.0,1.0,3.0,2.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,11.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,3.0,1.0,4.0,64.0,9.0,24.0,0.0,1.0,3.0,1.0,116.0,6.0,11.0,0.0,12.0,56.0,10.0,0.0,17.0,0.0,10.0,0.0,41.0,12.0,2.0,13.0,54.0,0.0,0.0,3.0,2.0,0.0,1.0,222.0,0.0,35.0,5.0,275.0,0.0,8.0,34.0,0.0,2.0,2.0,52.0,78.0,52.0,17.0,1.0,1.0,10.0,1.0,15.0,1.0,0.0,217.0,0.0,0.0,0.0,0.0,52.0,0.0,7.0,0.0,299.0,0.0,5.0,55.0,4.0,61.0,12.0,10.0,4.0,1.0,5.0,6.0,0.0,50.0,44.0,21.0,3.0,1.0,111.0,21.0,0.0,1.0,2.0,0.0,42.0,127.0,0.0,6.0,4.0,34.0,0.0,48.0,0.0,0.0,83.0,0.0,5.0,0.0,8.0,21.0,5.0,1.0,1.0,18.0,17.0,15.0,0.0,0.0,1.0,0.0,9.0,312.0,21.0,1.0,2.0,407.0,0.0,18.0,0.0,50.0,2.0,0.0,29.0,17.0,3.0,23.0,0.0,76.0,1.0,0.0,111.0,55.0,2.0,8.0,15.0,36.0,20.0,57.0,2.0,0.0,0.0,4.0,9.0,0.0,7.0,4.0,0.0,6.0,1.0,56.0,64.0,24.0,0.0,0.0,0.0,0.0,77.0,44.0,8.0,1.0,13.0,0.0,10.0,0.0,0.0,4.0,20.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0
3,24.0,1.0,3.0,115.0,12.0,45.0,0.0,0.0,12.0,14.0,290.0,20.0,10.0,1.0,121.0,80.0,29.0,38.0,12.0,0.0,19.0,15.0,124.0,29.0,0.0,47.0,156.0,0.0,0.0,10.0,6.0,2.0,0.0,481.0,0.0,101.0,21.0,721.0,3.0,127.0,134.0,0.0,4.0,4.0,209.0,141.0,66.0,41.0,0.0,6.0,6.0,3.0,37.0,0.0,6.0,551.0,1.0,1.0,0.0,1.0,131.0,0.0,31.0,13.0,961.0,36.0,25.0,198.0,11.0,109.0,23.0,27.0,11.0,51.0,13.0,25.0,5.0,227.0,126.0,70.0,3.0,0.0,79.0,75.0,7.0,0.0,22.0,1.0,107.0,242.0,1.0,33.0,12.0,76.0,17.0,84.0,1.0,2.0,62.0,0.0,35.0,0.0,39.0,24.0,9.0,7.0,9.0,11.0,115.0,28.0,6.0,0.0,0.0,0.0,6.0,275.0,67.0,5.0,5.0,250.0,3.0,51.0,0.0,111.0,17.0,0.0,61.0,72.0,11.0,54.0,2.0,176.0,3.0,2.0,97.0,174.0,7.0,5.0,79.0,64.0,18.0,88.0,73.0,21.0,3.0,35.0,28.0,0.0,17.0,4.0,0.0,20.0,2.0,86.0,108.0,13.0,0.0,1.0,21.0,2.0,77.0,95.0,9.0,9.0,1.0,0.0,33.0,4.0,5.0,6.0,18.0,1.0,7.0,36.0,8.0,33.0,12.0,5.0
4,6.0,0.0,1.0,66.0,1.0,13.0,0.0,0.0,4.0,3.0,108.0,6.0,6.0,0.0,28.0,39.0,14.0,23.0,11.0,0.0,3.0,0.0,60.0,8.0,0.0,12.0,37.0,0.0,0.0,8.0,1.0,0.0,0.0,195.0,1.0,44.0,1.0,221.0,0.0,12.0,12.0,0.0,1.0,0.0,97.0,47.0,43.0,11.0,0.0,3.0,10.0,0.0,35.0,0.0,0.0,210.0,0.0,1.0,0.0,1.0,64.0,1.0,11.0,0.0,369.0,1.0,2.0,45.0,3.0,60.0,19.0,7.0,12.0,3.0,10.0,2.0,0.0,68.0,109.0,43.0,1.0,2.0,34.0,27.0,1.0,1.0,9.0,3.0,27.0,78.0,5.0,10.0,1.0,39.0,0.0,35.0,1.0,0.0,17.0,0.0,5.0,0.0,12.0,10.0,2.0,1.0,1.0,5.0,20.0,6.0,0.0,0.0,0.0,0.0,4.0,195.0,1.0,1.0,0.0,249.0,0.0,10.0,0.0,51.0,7.0,0.0,21.0,18.0,2.0,28.0,0.0,42.0,0.0,0.0,64.0,30.0,1.0,0.0,25.0,13.0,12.0,47.0,8.0,1.0,0.0,9.0,9.0,0.0,1.0,0.0,3.0,12.0,0.0,39.0,52.0,4.0,0.0,2.0,1.0,0.0,48.0,50.0,2.0,0.0,1.0,0.0,5.0,3.0,1.0,1.0,17.0,0.0,3.0,1.0,7.0,9.0,0.0,0.0
5,6.0,0.0,3.0,43.0,6.0,16.0,0.0,0.0,11.0,1.0,99.0,8.0,5.0,0.0,29.0,37.0,11.0,0.0,8.0,0.0,3.0,3.0,73.0,5.0,1.0,20.0,41.0,0.0,0.0,3.0,5.0,0.0,0.0,197.0,0.0,60.0,8.0,235.0,0.0,3.0,18.0,0.0,10.0,6.0,77.0,68.0,46.0,17.0,0.0,4.0,3.0,2.0,41.0,1.0,0.0,172.0,0.0,0.0,0.0,1.0,61.0,0.0,4.0,3.0,314.0,4.0,10.0,54.0,2.0,83.0,9.0,8.0,5.0,4.0,3.0,10.0,0.0,85.0,26.0,16.0,1.0,1.0,30.0,28.0,0.0,0.0,4.0,0.0,56.0,87.0,0.0,11.0,2.0,23.0,2.0,28.0,0.0,1.0,49.0,1.0,6.0,0.0,7.0,8.0,1.0,5.0,3.0,13.0,35.0,10.0,0.0,0.0,0.0,0.0,3.0,249.0,3.0,2.0,0.0,218.0,2.0,13.0,0.0,45.0,1.0,0.0,28.0,18.0,0.0,25.0,0.0,52.0,7.0,0.0,55.0,49.0,1.0,0.0,20.0,27.0,15.0,33.0,8.0,3.0,0.0,15.0,18.0,0.0,8.0,2.0,0.0,9.0,1.0,40.0,46.0,9.0,0.0,0.0,0.0,2.0,66.0,48.0,8.0,0.0,0.0,1.0,0.0,3.0,0.0,16.0,6.0,1.0,7.0,0.0,2.0,14.0,3.0,2.0
6,6.0,0.0,1.0,35.0,4.0,24.0,0.0,0.0,5.0,21.0,87.0,9.0,3.0,1.0,15.0,22.0,11.0,1.0,3.0,0.0,2.0,1.0,59.0,9.0,3.0,10.0,62.0,0.0,0.0,21.0,1.0,0.0,0.0,145.0,0.0,82.0,4.0,180.0,2.0,14.0,26.0,0.0,9.0,4.0,94.0,48.0,13.0,11.0,0.0,6.0,0.0,2.0,5.0,0.0,3.0,186.0,1.0,1.0,0.0,0.0,41.0,3.0,5.0,7.0,380.0,2.0,11.0,55.0,5.0,47.0,7.0,14.0,7.0,6.0,6.0,12.0,2.0,111.0,59.0,10.0,2.0,3.0,47.0,28.0,0.0,1.0,19.0,2.0,46.0,83.0,0.0,7.0,1.0,25.0,3.0,32.0,0.0,0.0,15.0,0.0,1.0,0.0,14.0,15.0,36.0,3.0,1.0,5.0,32.0,10.0,0.0,0.0,14.0,0.0,4.0,81.0,3.0,3.0,3.0,69.0,1.0,3.0,0.0,51.0,13.0,0.0,39.0,16.0,0.0,15.0,2.0,33.0,0.0,2.0,73.0,61.0,2.0,5.0,23.0,27.0,11.0,25.0,9.0,3.0,3.0,8.0,10.0,0.0,9.0,1.0,1.0,5.0,0.0,18.0,42.0,5.0,0.0,0.0,0.0,0.0,67.0,27.0,5.0,2.0,2.0,0.0,5.0,0.0,1.0,3.0,12.0,1.0,3.0,0.0,2.0,19.0,1.0,1.0
7,0.0,0.0,2.0,28.0,1.0,1.0,1.0,0.0,11.0,0.0,82.0,0.0,0.0,0.0,14.0,77.0,2.0,0.0,13.0,0.0,0.0,0.0,31.0,8.0,0.0,12.0,24.0,0.0,0.0,3.0,2.0,0.0,0.0,169.0,0.0,16.0,2.0,112.0,0.0,21.0,7.0,0.0,4.0,2.0,48.0,56.0,49.0,18.0,0.0,2.0,5.0,0.0,10.0,0.0,0.0,135.0,0.0,0.0,0.0,14.0,54.0,1.0,2.0,1.0,333.0,2.0,2.0,33.0,2.0,32.0,8.0,14.0,4.0,1.0,0.0,8.0,1.0,49.0,94.0,12.0,1.0,0.0,37.0,16.0,1.0,0.0,8.0,0.0,24.0,47.0,2.0,1.0,4.0,23.0,0.0,24.0,0.0,0.0,4.0,0.0,2.0,0.0,12.0,29.0,1.0,2.0,4.0,3.0,22.0,45.0,0.0,0.0,0.0,0.0,3.0,275.0,0.0,3.0,2.0,593.0,1.0,41.0,0.0,123.0,2.0,0.0,10.0,16.0,0.0,39.0,0.0,35.0,1.0,0.0,30.0,25.0,0.0,0.0,16.0,24.0,6.0,32.0,3.0,0.0,0.0,17.0,21.0,0.0,3.0,0.0,0.0,2.0,2.0,17.0,34.0,5.0,0.0,0.0,1.0,0.0,69.0,28.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,9.0,3.0,2.0,0.0,4.0,4.0,0.0,2.0
8,13.0,0.0,3.0,59.0,14.0,19.0,0.0,0.0,13.0,7.0,198.0,8.0,3.0,0.0,36.0,68.0,38.0,1.0,12.0,1.0,4.0,1.0,58.0,12.0,1.0,17.0,89.0,0.0,0.0,7.0,1.0,0.0,0.0,344.0,0.0,50.0,14.0,481.0,0.0,47.0,48.0,0.0,3.0,2.0,69.0,90.0,62.0,43.0,1.0,4.0,8.0,0.0,18.0,0.0,8.0,282.0,0.0,7.0,0.0,0.0,69.0,1.0,6.0,5.0,659.0,4.0,26.0,120.0,1.0,108.0,22.0,43.0,14.0,2.0,5.0,6.0,0.0,86.0,233.0,22.0,2.0,8.0,104.0,80.0,4.0,0.0,21.0,2.0,93.0,155.0,1.0,3.0,17.0,32.0,3.0,65.0,1.0,0.0,47.0,1.0,9.0,0.0,41.0,39.0,2.0,6.0,11.0,9.0,33.0,11.0,0.0,0.0,1.0,0.0,8.0,294.0,6.0,0.0,3.0,220.0,0.0,13.0,0.0,62.0,5.0,0.0,27.0,27.0,3.0,42.0,1.0,144.0,7.0,0.0,72.0,70.0,3.0,1.0,35.0,54.0,26.0,61.0,19.0,2.0,8.0,14.0,35.0,0.0,15.0,2.0,1.0,11.0,1.0,74.0,75.0,18.0,1.0,0.0,0.0,5.0,77.0,59.0,5.0,0.0,1.0,0.0,7.0,0.0,0.0,8.0,16.0,1.0,37.0,0.0,9.0,17.0,13.0,0.0
9,29.0,0.0,7.0,103.0,27.0,28.0,0.0,0.0,12.0,16.0,188.0,9.0,7.0,1.0,44.0,47.0,11.0,20.0,11.0,1.0,5.0,0.0,106.0,28.0,2.0,19.0,108.0,0.0,1.0,4.0,1.0,0.0,0.0,291.0,0.0,89.0,8.0,401.0,11.0,23.0,27.0,0.0,11.0,5.0,133.0,113.0,37.0,24.0,0.0,4.0,2.0,3.0,98.0,0.0,1.0,368.0,0.0,3.0,0.0,2.0,202.0,0.0,7.0,10.0,652.0,8.0,16.0,155.0,12.0,73.0,10.0,13.0,13.0,7.0,10.0,11.0,3.0,134.0,63.0,11.0,1.0,2.0,68.0,52.0,2.0,1.0,12.0,0.0,99.0,133.0,6.0,5.0,30.0,30.0,4.0,72.0,0.0,2.0,77.0,0.0,3.0,0.0,14.0,6.0,5.0,5.0,9.0,11.0,89.0,41.0,3.0,1.0,0.0,0.0,2.0,216.0,3.0,2.0,2.0,78.0,0.0,42.0,0.0,94.0,14.0,0.0,45.0,36.0,4.0,36.0,2.0,85.0,10.0,0.0,89.0,104.0,33.0,0.0,58.0,44.0,25.0,82.0,16.0,7.0,0.0,24.0,25.0,0.0,5.0,5.0,1.0,16.0,1.0,62.0,98.0,22.0,0.0,0.0,1.0,1.0,80.0,66.0,13.0,1.0,0.0,2.0,2.0,1.0,0.0,4.0,22.0,18.0,10.0,0.0,9.0,34.0,1.0,3.0
