user_id,cluster
2252,2
222303,19
41303,6
19031,9
16143,3
135852,19
4978,12
52170,15
2135,19
212899,10
159969,3
130907,3
56030,4
18563,3
74605,19
289,2
248,16
65679,19
126,2
84069,19
26471,3
55120,6
18277,9
33443,19
177478,13
19044,11
13826,13
8025,13
32094,16
3606,13
162184,0
3955,5
12934,0
13322,19
194559,9
10887,16
36409,9
17488,19
2391,7
133329,19
115688,2
152322,5
28616,13
126928,4
21033,8
56896,4
41607,13
2126,0
51349,18
24323,6
28443,15
36087,18
19071,15
170058,8
8849,10
155197,16
92897,3
41936,10
168629,19
68293,19
158973,15
112416,19
29055,7
201901,6
28914,3
142771,8
185934,8
2400,14
322,8
90632,19
24525,9
142380,19
62004,8
44035,10
98971,19
82742,5
1011,10
888,9
91098,0
79510,13
100989,11
23635,15
7541,16
31165,0
119018,8
253985,19
27066,6
2967,5
85430,13
91420,5
92394,19
31009,3
157990,6
235656,10
7035,19
263302,19
194861,9
221155,19
18045,4
152374,10
52185,10
10486,12
9446,8
1623,6
130642,3
14144,14
181228,3
105493,5
5354,11
4678,18
25961,19
58006,11
59403,8
16,7
2978,11
133157,6
207233,19
15681,2
70277,15
37841,19
174642,3
56776,4
2062,0
39182,14
204187,19
13904,5
22458,11
73,3
12304,8
10748,9
107135,18
19522,19
36271,9
62654,9
229640,9
48263,3
32945,10
181433,6
11135,14
20682,18
48638,12
57358,10
13591,10
41534,16
27877,19
310,14
28120,3
77773,3
30328,3
237691,5
239386,9
237665,19
131923,0
9234,14
44805,17
218421,13
106453,3
3985,19
34376,8
228676,13
354,19
50849,19
10521,13
257654,16
99819,18
4865,18
11915,13
19626,11
44382,17
154382,19
156452,19
149620,18
57286,19
38114,19
60881,8
114613,12
7050,2
23519,14
29748,9
180736,19
93647,9
105636,14
18733,11
90501,9
107315,16
84885,15
437,8
238389,16
168228,3
8796,0
4441,3
40776,4
47727,8
1164,13
27989,17
27760,19
18246,2
6305,15
43495,0
27976,8
1054,9
5221,18
122205,8
101306,15
27836,16
95750,10
103458,19
70554,6
153836,11
38921,19
377,11
24468,9
113421,19
70022,16
66067,0
78479,6
14355,16
2371,5
165003,16
53214,17
18823,0
800,3
45021,13
69222,0
53918,11
259167,19
89315,18
38192,17
49530,2
44271,14
234135,15
16135,4
89652,6
103345,3
33690,14
59347,3
198469,19
65412,17
23956,19
140551,16
143,10
101414,6
412,19
147728,4
41798,11
244732,19
28042,19
467,8
234595,18
17745,7
83280,13
22809,3
71781,19
82056,9
166609,13
114003,17
179676,19
85251,8
41692,16
147802,16
7659,18
31623,3
258489,10
98776,19
60831,3
133548,10
140431,5
30543,19
74138,15
27098,9
1402,19
2736,0
1304,5
43668,19
1772,19
957,2
5948,11
37715,13
53742,19
141066,0
36678,19
108021,18
152304,16
36853,19
2820,19
96714,16
44677,19
110425,4
16809,18
207010,19
182303,19
126196,10
4860,17
8173,4
88752,16
18473,9
56817,9
138603,5
196036,3
33177,3
59831,5
130036,3
25014,13
95058,6
10665,19
148889,19
181170,3
249567,3
16510,3
145229,19
1470,3
46062,16
4774,19
7153,19
190754,12
210,15
53057,9
122278,19
107530,11
215409,9
117764,12
38934,3
95782,8
