UserID,ClusterID,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59
1,0,2.725832,3.442756,0.000000,0.000000,-3.521067,0.000000,-1.236999,-1.030393,-0.940086,1.770452,0.000000,-0.335937,1.119408,-1.496229,0.199137,-0.256940,0.000000,0.000000,0.000000,0.000000,-0.499121,-0.120585,0.147505,-0.173038,1.257206,1.045963,1.221168,0.239440,-0.260625,1.216203,0.000000,0.000000,1.018244,3.254861,-0.901061,0.764693,3.892689,0.000000,0.835925,0.000000,0.153718,2.341083,0.000000,0.000000,0.686473,0.000000,0.000000,0.000000,0.000000,0.012879,0.335434,-8.016540,1.337149,0.000000,2.282252,0.000000,0.000000,0.000000,0.000000,0.000000
2,0,1.320958,0.654503,0.000000,0.000000,10.845822,0.000000,1.571602,0.141189,-0.499686,-4.952017,0.000000,-0.598967,0.471148,2.206134,-17.636054,-0.167860,0.000000,0.000000,0.000000,0.000000,-0.153208,-0.244338,2.602760,-0.422464,-0.795601,0.400464,-2.080243,2.142861,0.022229,-0.039297,0.000000,0.000000,0.666205,0.516792,0.512595,-1.316924,1.154866,0.000000,-0.173243,0.000000,0.750567,-1.357243,0.000000,0.000000,-0.486130,0.000000,0.000000,0.000000,0.000000,1.081485,2.312514,10.395704,0.140625,0.000000,0.885339,0.000000,0.000000,0.000000,0.000000,0.000000
3,0,0.831871,-0.381020,0.000000,0.000000,0.805816,0.000000,0.905176,-0.022230,-1.637818,1.627509,0.000000,0.102933,-0.575390,-5.183301,4.612606,-0.233906,0.000000,0.000000,0.000000,0.000000,-0.811492,-0.962736,-3.250445,4.220589,-2.228349,-0.502743,0.684683,-0.198332,-0.354751,-0.366589,0.000000,0.000000,-0.312310,7.670143,-1.925478,-0.165707,-1.582542,0.000000,0.430313,0.000000,3.116917,-1.122907,0.000000,0.000000,-0.611921,0.000000,0.000000,0.000000,0.000000,-1.243394,0.353392,0.262474,-0.043063,0.000000,-0.376910,0.000000,0.000000,0.000000,0.000000,0.000000
4,0,4.509906,-4.607495,0.000000,0.000000,-0.948845,0.000000,-0.781010,-0.848625,-1.001368,-1.000510,0.000000,0.705309,1.657954,-1.212523,-1.169785,-1.091304,0.000000,0.000000,0.000000,0.000000,-0.781954,0.158297,-0.125191,-20.570378,-1.722236,0.939698,-0.347251,-0.460510,-0.363351,-0.958228,0.000000,0.000000,-6.780941,-4.041239,0.338644,0.023667,5.107077,0.000000,0.820375,0.000000,0.403360,0.170771,0.000000,0.000000,-0.194614,0.000000,0.000000,0.000000,0.000000,0.418333,0.170602,-0.480103,-0.072231,0.000000,0.122956,0.000000,0.000000,0.000000,0.000000,0.000000
5,0,0.156174,0.922177,0.000000,0.000000,-1.401062,0.000000,0.314954,0.807746,0.899368,-1.434209,0.000000,1.180570,-1.109090,-3.353078,5.828450,-3.855450,0.000000,0.000000,0.000000,0.000000,-1.322874,-0.423785,-3.045535,-0.692733,3.153300,-0.872630,0.491282,1.270941,-0.350490,1.959489,0.000000,0.000000,-0.067544,0.549110,2.613931,-1.588764,-2.880386,0.000000,-0.017509,0.000000,-0.292896,-0.132428,0.000000,0.000000,-0.336401,0.000000,0.000000,0.000000,0.000000,1.160723,2.385362,0.062992,0.038013,0.000000,0.583267,0.000000,0.000000,0.000000,0.000000,0.000000
6,0,-0.165137,-0.209072,0.000000,0.000000,-5.462865,0.000000,-0.042824,0.500157,0.418395,-2.436784,0.000000,1.207852,0.998647,-2.782834,0.023996,8.121890,0.000000,0.000000,0.000000,0.000000,9.884187,0.864158,0.418720,1.877643,1.158868,3.181712,1.199908,0.036812,0.597466,-0.028722,0.000000,0.000000,0.033541,0.571374,-0.086896,-0.195733,-1.261148,0.000000,-0.100167,0.000000,0.036079,-0.804271,0.000000,0.000000,-0.251171,0.000000,0.000000,0.000000,0.000000,-0.787069,2.795506,0.022039,-0.034186,0.000000,-0.423708,0.000000,0.000000,0.000000,0.000000,0.000000
7,0,-0.158407,1.069705,0.000000,0.000000,3.891790,0.000000,1.833330,0.007322,-0.287581,0.163406,0.000000,0.456576,-0.207535,-5.161898,0.136927,-0.219139,0.000000,0.000000,0.000000,0.000000,-0.194106,-0.299278,-2.206830,-1.559277,1.161241,0.600498,-0.277217,-0.490462,1.496221,-0.326777,0.000000,0.000000,2.248055,-0.175064,-1.029918,0.037077,-1.585569,0.000000,1.292319,0.000000,0.344413,-1.231125,0.000000,0.000000,1.555687,0.000000,0.000000,0.000000,0.000000,-2.595490,0.327687,0.084403,2.032736,0.000000,-0.536758,0.000000,0.000000,0.000000,0.000000,0.000000
8,0,0.283297,3.412374,0.000000,0.000000,-0.176740,0.000000,0.337476,0.462235,1.602009,-0.372866,0.000000,0.429429,-0.721676,-2.813554,-0.499197,-0.887049,0.000000,0.000000,0.000000,0.000000,0.390993,-4.317300,-0.900285,-3.500597,-0.591527,0.365112,-3.594008,0.242774,2.608745,-0.036541,0.000000,0.000000,-0.210562,-0.730423,2.985404,-0.801511,-1.584467,0.000000,-0.630781,0.000000,0.475822,-1.092056,0.000000,0.000000,0.538883,0.000000,0.000000,0.000000,0.000000,0.708003,0.198192,3.008653,2.015602,0.000000,-0.199751,0.000000,0.000000,0.000000,0.000000,0.000000
9,0,6.124122,-1.517922,0.000000,0.000000,2.207341,0.000000,0.264350,0.119515,-2.474627,-0.192357,0.000000,-0.738628,0.381303,-1.491066,-1.600223,-0.521907,0.000000,0.000000,0.000000,0.000000,-0.531451,-0.436171,-0.886266,-1.003045,-2.360053,-1.652415,0.322895,0.314456,-1.959115,0.701896,0.000000,0.000000,0.642773,1.431958,-1.384699,-0.521444,-0.674270,0.000000,2.136022,0.000000,0.353634,2.013078,0.000000,0.000000,-0.315224,0.000000,0.000000,0.000000,0.000000,-0.491084,0.413332,0.042585,-2.975526,0.000000,1.208437,0.000000,0.000000,0.000000,0.000000,0.000000
10,0,3.806549,-4.172938,0.000000,0.000000,-1.212099,0.000000,-1.112107,0.394092,0.918229,0.418326,0.000000,0.143291,1.514756,-2.597403,0.171089,-0.382936,0.000000,0.000000,0.000000,0.000000,-0.635067,-0.357934,5.232328,-1.333159,-0.106288,0.601137,-0.641184,-0.371569,-0.608637,0.899709,0.000000,0.000000,-1.622713,0.068485,-0.571995,-1.009370,-3.031982,0.000000,0.106335,0.000000,0.438532,-0.596918,0.000000,0.000000,-2.892531,0.000000,0.000000,0.000000,0.000000,-2.617727,-0.339537,0.626306,2.180583,0.000000,-0.111407,0.000000,0.000000,0.000000,0.000000,0.000000
