0 %, 0 %, 49140 MiB, 80 MiB, 48490 MiB
15 %, 3 %, 49140 MiB, 1424 MiB, 47146 MiB
0 %, 0 %, 49140 MiB, 80 MiB, 48490 MiB
13 %, 1 %, 49140 MiB, 3526 MiB, 45044 MiB
0 %, 0 %, 49140 MiB, 80 MiB, 48490 MiB
17 %, 1 %, 49140 MiB, 5625 MiB, 42945 MiB
0 %, 0 %, 49140 MiB, 80 MiB, 48490 MiB
16 %, 1 %, 49140 MiB, 7721 MiB, 40849 MiB
0 %, 0 %, 49140 MiB, 80 MiB, 48490 MiB
16 %, 1 %, 49140 MiB, 9933 MiB, 38637 MiB
0 %, 0 %, 49140 MiB, 80 MiB, 48490 MiB
18 %, 1 %, 49140 MiB, 12033 MiB, 36537 MiB
0 %, 0 %, 49140 MiB, 80 MiB, 48490 MiB
17 %, 1 %, 49140 MiB, 14133 MiB, 34437 MiB
0 %, 0 %, 49140 MiB, 80 MiB, 48490 MiB
70 %, 44 %, 49140 MiB, 15146 MiB, 33424 MiB
0 %, 0 %, 49140 MiB, 80 MiB, 48490 MiB
30 %, 26 %, 49140 MiB, 15174 MiB, 33396 MiB
0 %, 0 %, 49140 MiB, 80 MiB, 48490 MiB
33 %, 27 %, 49140 MiB, 15174 MiB, 33396 MiB
0 %, 0 %, 49140 MiB, 80 MiB, 48490 MiB
33 %, 26 %, 49140 MiB, 15178 MiB, 33392 MiB
0 %, 0 %, 49140 MiB, 80 MiB, 48490 MiB
31 %, 28 %, 49140 MiB, 15178 MiB, 33392 MiB
0 %, 0 %, 49140 MiB, 80 MiB, 48490 MiB
35 %, 31 %, 49140 MiB, 15173 MiB, 33397 MiB
0 %, 0 %, 49140 MiB, 80 MiB, 48490 MiB
67 %, 61 %, 49140 MiB, 15173 MiB, 33397 MiB
0 %, 0 %, 49140 MiB, 80 MiB, 48490 MiB
68 %, 62 %, 49140 MiB, 15173 MiB, 33397 MiB
0 %, 0 %, 49140 MiB, 80 MiB, 48490 MiB
69 %, 62
