,num_users,num_checkins,top_poi_categories,mean_lat,mean_lon,hour_peak,day_peak,planning_area
0,50,4916,"Food Court, Nightclub, Fast Food Restaurant, Chinese Restaurant, Multiplex, Coffee Shop, Japanese Restaurant, Department Store, Asian Restaurant, Flea Market",1.3141891061838895,103.86208437103336,11,Friday,KALLANG
1,4,196,"Fast Food Restaurant, Coffee Shop, Japanese Restaurant, Food Court, Restaurant, Bar, Seafood Restaurant, Tea Room, Pizza Place, Multiplex",1.317850051020408,103.87014071428572,8,Saturday,KALLANG
2,26,5422,"Multiplex, Coffee Shop, Food Court, Fast Food Restaurant, Nightclub, Chinese Restaurant, Ice Cream Shop, Light Rail, Japanese Restaurant, Asian Restaurant",1.3123226119513094,103.86821862578384,10,Friday,KALLANG
3,96,11493,"Food Court, Fast Food Restaurant, Coffee Shop, Chinese Restaurant, Multiplex, Japanese Restaurant, Asian Restaurant, Grocery Store, Department Store, Cosmetics Shop",1.3156533254154703,103.86495803645698,10,Saturday,KALLANG
4,30,4890,"Nightclub, Food Court, Fast Food Restaurant, Coffee Shop, Multiplex, Chinese Restaurant, Gym, Asian Restaurant, Department Store, Boutique",1.3230705486707566,103.88528778425358,10,Friday,GEYLANG
5,32,4618,"Food Court, Nightclub, Multiplex, Chinese Restaurant, Coffee Shop, Fast Food Restaurant, Asian Restaurant, Boutique, Furniture / Home Store, Japanese Restaurant",1.3127915448245997,103.85907853876137,9,Saturday,KALLANG
6,49,4829,"Food Court, Fast Food Restaurant, Chinese Restaurant, Coffee Shop, Grocery Store, Asian Restaurant, Department Store, Tea Room, Mediterranean Restaurant, Resort",1.3216702520190515,103.86948118119696,10,Saturday,KALLANG
7,12,3882,"Nightclub, Food Court, Park, Chinese Restaurant, Fast Food Restaurant, Multiplex, Gym, Coffee Shop, Bar, Tea Room",1.3013470574446164,103.8512173134982,11,Saturday,ROCHOR
8,50,6841,"Food Court, Coffee Shop, Fast Food Restaurant, Multiplex, Chinese Restaurant, Nightclub, Gym, Asian Restaurant, Japanese Restaurant, Fried Chicken Joint",1.315870301271744,103.86698616371876,11,Friday,KALLANG
9,85,8776,"Food Court, Fast Food Restaurant, Coffee Shop, Chinese Restaurant, Multiplex, Asian Restaurant, Department Store, Fried Chicken Joint, Japanese Restaurant, Grocery Store",1.31797871627165,103.87195752654968,11,Saturday,KALLANG
10,50,7673,"Food Court, Chinese Restaurant, Coffee Shop, Fast Food Restaurant, Nightclub, Multiplex, Asian Restaurant, Convenience Store, Gym, Dessert Shop",1.310626037012902,103.85296353772968,11,Saturday,ROCHOR
11,32,4929,"Nightclub, Food Court, Chinese Restaurant, Coffee Shop, Fast Food Restaurant, Multiplex, Gym, Japanese Restaurant, Flea Market, Ramen /  Noodle House",1.313345599107324,103.86610371637248,11,Friday,KALLANG
12,19,1597,"Food Court, Coffee Shop, Fast Food Restaurant, Chinese Restaurant, Japanese Restaurant, Department Store, Tea Room, Asian Restaurant, Grocery Store, Multiplex",1.3138468065122104,103.85960747964934,10,Sunday,KALLANG
13,62,5283,"Food Court, Fast Food Restaurant, Coffee Shop, Chinese Restaurant, Multiplex, Asian Restaurant, Ice Cream Shop, Grocery Store, Tea Room, Restaurant",1.3151537437062275,103.8581000374787,11,Saturday,KALLANG
14,22,3753,"Nightclub, Coffee Shop, Multiplex, Food Court, Chinese Restaurant, Fast Food Restaurant, Thai Restaurant, Plaza, Pub, Dessert Shop",1.3085132909672264,103.85848851931787,11,Friday,KALLANG
15,36,5063,"Food Court, Nightclub, Multiplex, Coffee Shop, Chinese Restaurant, Fast Food Restaurant, Asian Restaurant, Furniture / Home Store, Japanese Restaurant, Shoe Store",1.3158276987951807,103.87547757475804,11,Saturday,GEYLANG
16,60,6792,"Coffee Shop, Food Court, Fast Food Restaurant, Chinese Restaurant, Grocery Store, Asian Restaurant, Tea Room, Park, Multiplex, Dessert Shop",1.3204637879858658,103.86415777134864,10,Saturday,KALLANG
17,32,4934,"Nightclub, Food Court, Fast Food Restaurant, Multiplex, Gym, Restaurant, Chinese Restaurant, Video Store, Video Game Store, Spa / Massage",1.328021292865829,103.88307531576814,10,Saturday,GEYLANG
18,38,6491,"Coffee Shop, Food Court, Fast Food Restaurant, Clothing Store, Multiplex, Boutique, Nightclub, Park, Chinese Restaurant, Asian Restaurant",1.3248074518564166,103.88586085379757,10,Friday,GEYLANG
19,215,17820,"Food Court, Fast Food Restaurant, Coffee Shop, Chinese Restaurant, Asian Restaurant, Gym, Department Store, Japanese Restaurant, Nightclub, Grocery Store",1.3168835471941638,103.86951815190795,11,Saturday,KALLANG
