userId,total_interactions,views,transactions,reviews,views_percent,transactions_percent,reviews_percent,views∩transactions,views∩reviews,transactions∩reviews,views∩transactions∩reviews,ratio_close_to_70_20_10
203821,106,57,35,14,53.8,33.0,13.2,15,6,7,6,NO
244491,45,25,14,6,55.6,31.1,13.3,11,4,4,3,NO
41964,65,36,21,8,55.4,32.3,12.3,16,6,7,5,NO
125255,78,42,26,10,53.8,33.3,12.8,17,8,9,8,NO
145197,95,52,31,12,54.7,32.6,12.6,17,8,11,8,NO
128076,69,37,23,9,53.6,33.3,13.0,16,6,7,6,NO
10672,49,26,16,7,53.1,32.7,14.3,10,4,5,3,NO
174532,56,30,18,8,53.6,32.1,14.3,15,6,6,5,NO
8796,177,96,58,23,54.2,32.8,13.0,39,18,19,15,NO
12764,113,61,37,15,54.0,32.7,13.3,21,9,9,8,NO
123770,17,9,6,2,52.9,35.3,11.8,4,1,2,1,NO
2062,61,33,20,8,54.1,32.8,13.1,13,4,6,4,NO
31511,70,38,23,9,54.3,32.9,12.9,11,5,5,5,NO
14922,72,39,24,9,54.2,33.3,12.5,7,6,4,4,NO
193901,47,26,15,6,55.3,31.9,12.8,9,5,4,3,NO
13173,47,26,15,6,55.3,31.9,12.8,10,5,5,4,NO
33397,80,43,26,11,53.8,32.5,13.8,18,9,8,7,NO
59342,69,37,23,9,53.6,33.3,13.0,17,7,7,5,NO
174879,57,30,19,8,52.6,33.3,14.0,12,5,6,4,NO
238295,36,20,11,5,55.6,30.6,13.9,8,4,4,3,NO
93959,36,20,11,5,55.6,30.6,13.9,9,3,3,2,NO
91098,42,23,14,5,54.8,33.3,11.9,9,5,5,5,NO
66067,57,30,19,8,52.6,33.3,14.0,13,7,6,6,NO
94759,28,15,9,4,53.6,32.1,14.3,6,3,3,2,NO
53658,50,27,16,7,54.0,32.0,14.0,12,5,5,4,NO
31165,25,13,9,3,52.0,36.0,12.0,6,2,3,2,NO
81858,136,74,44,18,54.4,32.4,13.2,34,12,12,9,NO
10474,24,13,8,3,54.2,33.3,12.5,6,2,3,2,NO
162184,58,31,19,8,53.4,32.8,13.8,13,6,6,4,NO
127046,110,59,36,15,53.6,32.7,13.6,21,9,11,7,NO
224795,62,34,20,8,54.8,32.3,12.9,10,5,5,4,NO
