POI Category,Avg Check-ins per Day
Bus Line,1.9454545454545455
High School,1.4
Park,1.0
Home (private),1.0
Bus Station,1.7777777777777777
College Cafeteria,1.0
College Basketball Court,1.0
Bridge,1.0
Train Station,1.6666666666666667
Residential Building (Apartment / Condo),1.25
School,1.0
Theme Park,1.0
Fast Food Restaurant,1.0
Mall,1.0
Arts & Crafts Store,1.0
Bagel Shop,1.0
Rest Area,1.0
Beach,1.0
Arcade,1.0
Water Park,1.0
Cemetery,1.0
College Gym,1.0
Grocery Store,1.0
Basketball Court,1.5
Airport,1.0
Ramen /  Noodle House,1.0
Department Store,1.0
Hospital,2.5
Doctor's Office,1.0
