POI Category,Avg Check-ins per Day
Home (private),1.0851063829787233
Parking,1.0
Event Space,1.3333333333333333
Coffee Shop,1.0
Office,1.0
Fast Food Restaurant,1.0
Mall,1.25
General Entertainment,1.0
Theme Park,1.0
Building,1.0
Bus Station,1.1111111111111112
Furniture / Home Store,1.0
Asian Restaurant,1.0
Grocery Store,1.0
Hiking Trail,1.0
Spa / Massage,1.0
Flea Market,1.0
Train Station,2.210526315789474
Coworking Space,1.0555555555555556
Subway,1.1818181818181819
Food Court,1.0
Soccer Field,1.0
Residential Building (Apartment / Condo),1.0
Convenience Store,1.0
Gym / Fitness Center,1.0
Boutique,1.0
Bookstore,1.0
Chinese Restaurant,1.0
General College & University,1.0
Gym,1.0
Airport,1.0
Art Gallery,1.0
