POI Category,Avg Check-ins per Day
Fast Food Restaurant,1.0
Bus Station,1.173913043478261
Malaysian Restaurant,1.0
Residential Building (Apartment / Condo),2.375
Convenience Store,1.0
Food Court,1.1111111111111112
Coffee Shop,1.0
College Library,1.0
High School,1.0
Parking,1.0
Housing Development,1.0
Home (private),1.2452830188679245
Mosque,1.0
Comedy Club,1.0
Mall,1.1666666666666667
Neighborhood,1.0
Electronics Store,1.0
Train Station,1.0
Airport Terminal,1.5
Airport,1.0
Tea Room,1.0
American Restaurant,1.0
Plaza,1.0
Office,1.0
Subway,1.3636363636363635
Arcade,1.0
Nightclub,1.0
Hotel,1.0
Cemetery,1.0
Salon / Barbershop,1.0
Library,1.0
Event Space,1.0
Stadium,1.0
Restaurant,1.0
Playground,1.0
Student Center,1.0
Casino,1.0
Department Store,1.0
Building,1.0
Bus Line,1.0
Flea Market,1.0
Burger Joint,1.0
Other Great Outdoors,1.0
Hospital,1.0
Strip Club,1.0
Thrift / Vintage Store,1.0
Indonesian Restaurant,1.0
College Lab,1.0
Hotel Bar,1.0
Mountain,1.0
College Residence Hall,1.0
Moving Target,1.0
Bank,1.0
Arepa Restaurant,1.0
Fried Chicken Joint,1.0
