year,month,day,hour,count
2012,4,8,1,1
2012,4,19,13,1
2012,5,21,17,1
2012,5,21,18,1
2012,5,21,19,1
2012,5,30,12,1
2012,6,1,17,2
2012,6,1,18,2
2012,6,1,19,1
2012,6,4,8,1
2012,6,4,11,1
2012,6,4,18,4
2012,6,4,19,2
2012,6,5,9,2
2012,6,5,10,1
2012,6,6,20,2
2012,6,10,15,1
2012,6,10,17,1
2012,6,10,18,3
2012,6,11,9,1
2012,6,11,17,3
2012,6,11,19,1
2012,6,13,8,1
2012,6,14,10,1
2012,6,14,13,1
2012,6,18,8,2
2012,6,21,8,1
2012,6,21,10,1
2012,6,21,18,1
2012,6,21,19,1
2012,7,9,12,1
2012,7,11,8,1
2012,7,13,7,1
2012,7,17,13,3
2012,7,24,19,1
2012,7,30,8,1
2012,7,30,12,1
2012,7,30,13,1
2012,7,30,19,1
2012,12,9,19,1
2012,12,15,18,2
