Embedding	Clustering	Silhouette	Calinski-Harabasz	Davies-Bouldin
PCA	KMeans	Silhouette: 0.16628385849452287	Calinski-Harabasz: 1125.0566602708495	Davies-Bouldin: 1.2678628959014804
PCA	Agglomerative	Silhouette: 0.08836763112272798	Calinski-Harabasz: 644.1887482904013	Davies-Bouldin: 1.9595517263072477
PCA	DBSCAN	Silhouette: -0.5292935573552852	Calinski-Harabasz: 32.19084484546339	Davies-Bouldin: 3.6781004866239395
PCA	GMM	Silhouette: -0.13584295809667313	Calinski-Harabasz: 215.32304271808079	Davies-Bouldin: 5.231436826987273
t-SNE	KMeans	Silhouette: 0.053461235016584396	Calinski-Harabasz: 639.3085327148438	Davies-Bouldin: 2.399098940557582
t-SNE	Agglomerative	Silhouette: 0.028261058032512665	Calinski-Harabasz: 581.5610961914062	Davies-Bouldin: 1.816717031621548
t-SNE	DBSCAN	Silhouette: -0.5265020728111267	Calinski-Harabasz: 31.067758560180664	Davies-Bouldin: 2.0981121268363143
t-SNE	GMM	Silhouette: -0.1634066253900528	Calinski-Harabasz: 195.49542236328125	Davies-Bouldin: 10.934177627279263
UMAP	KMeans	Silhouette: 0.16542379558086395	Calinski-Harabasz: 880.6925048828125	Davies-Bouldin: 1.2052486165552356
UMAP	Agglomerative	Silhouette: 0.08636597543954849	Calinski-Harabasz: 847.3736572265625	Davies-Bouldin: 1.0898105130262166
UMAP	DBSCAN	Silhouette: -0.5452342629432678	Calinski-Harabasz: 28.173986434936523	Davies-Bouldin: 1.6133969852012096
UMAP	GMM	Silhouette: -0.14185956120491028	Calinski-Harabasz: 185.41456604003906	Davies-Bouldin: 4.074602430649088
VarianceThreshold+PCA	KMeans	Silhouette: 0.16628385849452287	Calinski-Harabasz: 1125.0566602708495	Davies-Bouldin: 1.2678628959014804
VarianceThreshold+PCA	Agglomerative	Silhouette: 0.08836763112272798	Calinski-Harabasz: 644.1887482904013	Davies-Bouldin: 1.9595517263072477
VarianceThreshold+PCA	DBSCAN	Silhouette: -0.5292935573552852	Calinski-Harabasz: 32.19084484546339	Davies-Bouldin: 3.6781004866239395
VarianceThreshold+PCA	GMM	Silhouette: -0.13584295809667313	Calinski-Harabasz: 215.32304271808079	Davies-Bouldin: 5.231436826987273
Autoencoder	KMeans	Silhouette: 0.10505520552396774	Calinski-Harabasz: 429.542236328125	Davies-Bouldin: 1.4589928262897076
Autoencoder	Agglomerative	Silhouette: 0.07945135980844498	Calinski-Harabasz: 434.699462890625	Davies-Bouldin: 1.7578972697389832
Autoencoder	DBSCAN	Silhouette: -0.533176839351654	Calinski-Harabasz: 23.05320167541504	Davies-Bouldin: 7.121667036801989
Autoencoder	GMM	Silhouette: -0.181285098195076	Calinski-Harabasz: 119.34489440917969	Davies-Bouldin: 3.3867383266808777
