Cluster,Label,Top POI Preferences,Peak Time
3,Foodies,"Food, Shop & Service, Travel & Transport, Arts & Entertainment, Great Outdoors",Peaks during Early Morning (4AM-8AM)
2,Students/Professionals,"College & University, Food, Shop & Service, Travel & Transport, Professional & Other Places",Peaks during Morning (8AM-12PM)
0,General,"Professional & Other Places, Food, Shop & Service, Travel & Transport, Great Outdoors",Peaks during Morning (8AM-12PM)
9,Weekend Mall Visitors,"Shop & Service, Food, Travel & Transport, Professional & Other Places, Arts & Entertainment",Peaks during Morning (8AM-12PM)
5,Foodies,"Food, Shop & Service, Travel & Transport, Arts & Entertainment, Professional & Other Places",Peaks during Morning (8AM-12PM)
8,Foodies,"Food, Shop & Service, Professional & Other Places, Travel & Transport, Arts & Entertainment",Peaks during Morning (8AM-12PM)
10,Weekend Mall Visitors,"Shop & Service, Food, Travel & Transport, Professional & Other Places, Arts & Entertainment",Peaks during Morning (8AM-12PM)
6,General,"Travel & Transport, Shop & Service, Food, Professional & Other Places, Great Outdoors",Peaks during Morning (8AM-12PM)
11,General,"Professional & Other Places, Shop & Service, Food, Travel & Transport, College & University",Peaks during Morning (8AM-12PM)
1,Weekend Mall Visitors,"Shop & Service, Food, Nightlife Spot, Travel & Transport, Professional & Other Places",Peaks during Morning (8AM-12PM)
7,General,"Professional & Other Places, Shop & Service, Food, Travel & Transport, Great Outdoors",Peaks during Night (8PM-12AM)
4,Weekend Mall Visitors,"Shop & Service, Food, Travel & Transport, Professional & Other Places, Arts & Entertainment",Peaks during Morning (8AM-12PM)
