cluster_id,hour,top_category
3,0,High School
3,1,Mall
3,2,Mall
3,3,Mall
3,4,Mall
3,5,Mall
3,6,Mall
3,7,Mall
3,8,Mall
3,9,Mall
3,10,Mall
3,11,Mall
3,12,Mall
3,13,Mall
3,14,Mall
3,15,Mall
3,16,Nightclub
3,17,Nightclub
3,18,Mall
3,19,Nightclub
3,20,Asian Restaurant
3,21,Fast Food Restaurant
3,22,Bus Station
3,23,High School
3,24,High School
3,25,Mall
3,26,Mall
3,27,Mall
3,28,Mall
3,29,Mall
3,30,Mall
3,31,Mall
3,32,Mall
3,33,Mall
3,34,Mall
3,35,Mall
3,36,Mall
3,37,Mall
3,38,Mall
3,39,Food Court
3,40,Food Court
3,41,Mall
3,42,Coffee Shop
3,43,Nightclub
3,44,Hotel
3,45,Fast Food Restaurant
3,46,High School
3,47,High School
3,48,High School
3,49,Mall
3,50,Mall
3,51,Mall
3,52,Mall
3,53,Mall
3,54,Mall
3,55,Mall
3,56,Mall
3,57,Mall
3,58,Mall
3,59,Mall
3,60,Mall
3,61,Mall
3,62,Mall
3,63,Nightclub
3,64,Nightclub
3,65,Nightclub
3,66,Nightclub
3,67,Mall
3,68,Mall
3,69,Bus Station
3,70,High School
3,71,High School
3,72,General College & University
3,73,Mall
3,74,Mall
3,75,Mall
3,76,Mall
3,77,Mall
3,78,Mall
3,79,Mall
3,80,Mall
3,81,Mall
3,82,Mall
3,83,Mall
3,84,Mall
3,85,Mall
3,86,Mall
3,87,Mall
3,88,Mall
3,89,Coffee Shop
3,90,Nightclub
3,91,Nightclub
3,92,Nightclub
3,93,Bus Station
3,94,Mall
3,95,High School
3,96,High School
3,97,Mall
3,98,Mall
3,99,Mall
3,100,Mall
3,101,Mall
3,102,Mall
3,103,Mall
3,104,Mall
3,105,Mall
3,106,Mall
3,107,Mall
3,108,Mall
3,109,Mall
3,110,Mall
3,111,Mall
3,112,Nightclub
3,113,Nightclub
3,114,Nightclub
3,115,Nightclub
3,116,Fast Food Restaurant
3,117,Bus Station
3,118,Fast Food Restaurant
3,119,Mall
3,120,Mall
3,121,Mall
3,122,Mall
3,123,Mall
3,124,Mall
3,125,Mall
3,126,Mall
3,127,Mall
3,128,Mall
3,129,Mall
3,130,Mall
3,131,Mall
3,132,Mall
3,133,Mall
3,134,Mall
3,135,Nightclub
3,136,Nightclub
3,137,Nightclub
3,138,Nightclub
3,139,Nightclub
3,140,Nightclub
3,141,Fast Food Restaurant
3,142,Fast Food Restaurant
3,143,Mall
3,144,Mall
3,145,Mall
3,146,Mall
3,147,Mall
3,148,Mall
3,149,Mall
3,150,Mall
3,151,Mall
3,152,Mall
3,153,Mall
3,154,Mall
3,155,Mall
3,156,Mall
3,157,Mall
3,158,Mall
3,159,Mall
3,160,Nightclub
3,161,Fast Food Restaurant
3,162,Fast Food Restaurant
3,163,Mall
3,164,Fast Food Restaurant
3,165,Mall
3,166,Bus Station
3,167,Mall
2,0,Bus Station
2,1,Subway
2,2,Mall
2,3,Mall
2,4,Mall
2,5,Mall
2,6,Mall
2,7,Mall
2,8,Mall
2,9,Mall
2,10,Mall
2,11,Mall
2,12,Mall
2,13,Mall
2,14,Mall
2,15,Mall
2,16,Coffee Shop
2,17,Nightclub
2,18,Caf
2,19,Multiplex
2,20,Hotel
2,21,Coffee Shop
2,22,Chinese Restaurant
2,23,High School
2,24,Mall
2,25,Subway
2,26,Coffee Shop
2,27,Mall
2,28,Mall
2,29,Mall
2,30,Mall
2,31,Mall
2,32,Mall
2,33,Mall
2,34,Mall
2,35,Mall
2,36,Mall
2,37,Mall
2,38,Fast Food Restaurant
2,39,Subway
2,40,Nightclub
2,41,Coffee Shop
2,42,Coffee Shop
2,43,Chinese Restaurant
2,44,Coffee Shop
2,45,Mall
2,46,Bus Line
2,47,Subway
2,48,Bus Station
2,49,Subway
2,50,Mall
2,51,General College & University
2,52,Mall
2,53,Mall
2,54,Mall
2,55,Mall
2,56,Mall
2,57,Mall
2,58,Mall
2,59,Mall
2,60,Mall
2,61,Mall
2,62,Mall
2,63,Subway
2,64,Nightclub
2,65,Nightclub
2,66,Chinese Restaurant
2,67,Nightclub
2,68,Mall
2,69,Caf
