user_id,cluster
16,0
49801,4
182327,0
44557,0
30892,5
37841,7
49530,0
4400,0
228596,7
98121,0
200811,8
73,8
4047,9
248,8
67281,9
95885,8
53505,9
221896,8
31758,9
89905,10
199599,10
126,15
467,13
25961,13
12482,15
1256,13
1011,15
2228,15
24864,15
15681,0
1470,15
143,13
5948,13
19671,13
17745,13
24323,13
11655,13
53742,13
888,13
38921,9
72423,9
151,14
226045,14
46881,14
172443,14
164968,14
125956,14
89442,18
120093,18
209590,14
257357,18
197228,14
210,15
6067,15
5511,15
124671,15
912,15
1054,15
174670,15
22608,15
21292,15
22975,15
30378,15
221,9
1410,9
76341,9
164843,9
74478,9
3955,9
2371,9
45041,9
170699,9
41692,9
37715,9
2391,8
97359,19
226049,9
61084,8
289,9
109609,2
16135,13
2967,2
984,9
13904,9
2770,2
17488,9
26006,13
56325,2
296,2
19031,12
94513,2
17272,12
197116,2
73096,15
1772,15
10887,19
178074,2
310,15
2768,15
7751,15
4687,15
2108,15
4000,15
322,2
957,2
215409,2
62409,2
37305,2
96714,2
4860,2
16288,2
2135,2
16510,2
67694,13
354,15
47780,15
4215,15
76462,15
19261,15
134879,15
1495,15
377,7
45424,16
23222,18
59403,4
36819,17
88495,7
55088,15
55918,7
78704,7
7973,8
412,9
10665,9
16809,9
40775,9
27098,9
35446,9
196661,9
6305,16
5221,13
154135,9
1164,13
437,9
12830,9
39037,9
153836,9
10351,9
42027,9
113421,9
241154,9
4989,13
150228,9
2252,13
45021,13
227689,13
45284,13
574,18
84093,18
30288,18
172431,18
125953,18
64150,18
114855,18
94934,18
157048,18
259818,18
50740,18
800,2
14139,2
1402,2
40055,2
33013,2
165359,2
223095,2
848,0
222303,0
104055,1
56334,13
225576,0
19441,0
94860,0
50623,0
71476,1
61930,13
107315,13
25181,13
30720,13
907,18
43391,18
192258,18
6541,18
105592,18
72289,0
56351,18
48415,19
7050,1
38475,15
2941,15
160621,15
19222,15
94114,15
32345,15
124075,2
112947,2
85872,2
21418,2
50828,9
150926,9
140557,13
3260,9
10968,15
4068,15
12517,15
1014,2
67438,2
9318,2
32945,2
29568,2
18252,2
104833,2
170921,2
78162,2
188795,2
19787,2
1035,18
3524,3
47349,3
155178,18
2739,3
100822,18
90632,18
265946,18
81706,18
97082,19
106936,1
259167,15
225281,15
38192,13
24468,13
106250,13
131467,13
37027,13
4441,13
106609,9
30163,13
53214,13
54189,13
40776,13
74228,13
1304,2
6565,2
11160,2
24525,2
105946,2
1326,2
7035,2
133026,2
14680,2
3559,2
42910,2
65412,9
108010,9
25178,9
22320,15
44805,9
184445,15
1623,1
182492,19
84069,1
133329,19
66005,1
111152,1
142749,19
110425,1
89811,19
155197,1
72463,1
46324,15
12763,15
1865,4
74283,4
61854,4
161755,4
93761,4
259162,4
18045,4
79241,4
126363,4
59347,2
94361,4
1997,10
55120,10
78593,10
212913,2
105049,2
59952,10
22620,2
211221,2
19579,10
128591,10
260347,10
2062,19
53779,19
96736,19
201430,19
111371,19
232448,19
39397,19
29651,19
119723,19
82742,19
213636,15
18624,15
2126,13
72427,13
2400,13
19626,13
11546,13
53467,13
74343,13
71769,13
47727,13
2736,2
70511,15
2234,10
108021,10
140817,10
9975,10
181170,10
79065,16
234595,10
76783,10
89399,10
208000,13
147717,19
27989,13
78564,13
10585,13
2317,6
32841,9
150435,6
148889,13
2862,2
121908,6
16892,6
98104,9
49649,9
2390,7
174870,18
40994,7
176562,7
24939,18
253761,7
19044,18
224795,7
238389,7
208037,18
44010,18
109603,8
218177,8
74111,8
111894,8
91936,8
86730,2
179397,8
264637,8
208110,8
148118,13
2504,2
174313,2
170372,3
99934,2
78426,3
5607,2
63113,3
14948,3
145229,3
34492,3
6845,3
10521,3
2746,6
28039,6
101296,6
28443,6
181371,6
204615,6
80609,0
135852,6
23519,0
212610,15
155770,2
2820,13
20633,13
27877,13
36853,13
39182,2
111935,2
39625,2
3842,2
111692,2
6909,0
2877,9
138816,9
98734,8
68967,4
41323,9
28416,4
103741,9
76811,9
52987,15
39315,15
32629,15
136926,15
123200,15
18277,2
151188,2
153267,2
3349,2
2978,13
3154,4
117522,4
91098,4
29890,4
149113,4
14388,4
41001,4
158687,4
166789,4
145765,4
241433,4
3172,7
190717,7
103345,9
4402,7
48933,7
49777,7
16746,12
7153,2
87016,11
103495,12
3199,9
90407,9
12764,9
18563,11
86879,9
39404,9
28891,9
248418,9
49984,9
57107,11
3307,5
45086,5
200194,5
126532,5
188274,5
75820,0
88356,5
245692,0
44312,5
224644,0
9860,2
182303,2
41607,2
160232,2
167062,2
206766,2
3361,19
28914,19
156649,19
42300,19
72276,19
86739,19
65124,19
21990,2
3519,2
63277,2
73775,3
160757,3
153883,3
117080,3
3544,15
12390,19
8253,15
22634,15
219805,15
71426,15
183306,15
8127,2
249567,2
52170,2
32825,3
3606,19
128238,19
19914,19
8173,19
33443,19
18034,19
27362,19
7541,19
3671,16
123495,16
193360,16
126525,16
139083,16
48792,16
9165,16
135375,16
15259,16
57358,16
210163,16
3785,7
37378,7
157991,7
13115,7
173022,7
19386,7
62004,7
60490,7
44677,7
3797,2
5354,2
64094,2
43668,2
21942,2
3855,19
84064,19
18823,19
260729,19
100246,19
4876,9
4029,18
12304,18
84027,6
33690,18
200522,18
117800,18
54295,18
175962,6
222806,18
128968,12
4041,18
132329,18
47626,18
41716,18
164768,18
5276,3
31452,18
81858,18
181228,1
171248,18
156078,18
68427,9
4119,9
234158,9
128194,9
179752,15
117764,9
56817,9
42793,9
99727,9
77081,15
238927,2
13131,15
89526,15
4239,7
119660,7
13869,7
245883,7
13358,7
174407,7
46019,7
87944,0
4264,0
199131,0
141931,0
24008,0
93647,6
150355,0
207010,0
8029,0
84885,0
24144,0
57570,0
203085,1
120589,17
196319,1
107530,0
13547,1
42025,0
232144,7
252729,7
178368,7
60853,7
4667,13
208656,10
18246,13
4678,9
27976,13
59443,10
4774,3
118605,3
64349,18
222321,3
156352,18
169071,3
104081,3
210835,18
185935,18
154420,18
4865,0
140431,0
50570,2
82985,1
32094,1
78848,1
4978,8
74407,8
30794,8
51349,8
18402,19
201693,8
135822,8
61108,8
97906,8
107292,13
81046,13
23635,13
121211,16
80240,16
34402,16
102900,6
99511,3
150404,4
162809,8
57517,0
67874,3
168629,17
5287,15
96344,15
22809,15
99113,15
78111,15
156521,15
48954,15
61750,15
5307,6
174017,6
90256,6
111241,6
171635,8
34530,12
10672,6
209842,13
235091,5
8796,2
5358,19
8025,8
199541,8
25014,2
5427,0
43166,0
72947,0
100444,9
115870,0
36060,2
6147,2
26489,2
31536,9
70022,16
115048,16
41779,16
234093,16
105124,16
182146,16
6342,2
44483,2
33177,9
56681,9
126196,18
154310,3
23686,18
140638,18
87480,18
118368,18
122487,18
179735,2
6624,9
29140,4
6791,1
36409,1
14187,19
69723,1
16143,1
157394,19
219404,0
55363,1
125172,3
12872,1
19030,3
74138,0
132593,0
149607,0
91238,0
203821,0
55151,0
42375,0
63847,0
29903,0
134902,0
69290,1
123439,1
196928,1
138227,1
28120,1
69808,19
228676,1
130642,1
144270,1
7076,19
55180,19
85064,19
47167,19
19071,19
7087,19
20526,19
104441,19
73526,19
99041,19
164312,19
40405,19
10032,2
7177,17
65349,17
158973,17
220219,0
162311,3
106573,3
142319,17
192119,0
255839,17
7179,18
234163,18
7532,9
90501,19
95275,19
63360,19
196885,19
242981,19
182016,19
7659,12
21033,12
137464,12
212858,12
109216,12
82310,12
38585,1
166609,12
82055,12
144834,9
147728,13
246778,3
244922,3
20856,8
130318,3
31561,0
75575,0
8066,3
197408,2
64051,9
55138,2
8139,17
80219,17
121116,17
108393,17
26471,17
77211,17
227953,17
238886,17
253993,17
144278,17
179236,17
200368,19
153338,19
132971,19
54464,19
181433,19
77808,15
28298,15
60380,15
8273,17
209891,17
202475,8
27038,3
181822,0
55371,18
46509,17
115810,18
173339,17
16273,8
197056,17
8490,15
128939,9
8568,1
41964,1
111347,17
59931,1
62621,1
77397,1
242495,1
79052,18
110334,19
8780,8
225700,8
101864,1
26131,19
8849,8
18633,1
92407,8
207522,19
105512,1
9111,0
102166,0
188703,0
18733,0
53042,0
75687,0
79653,0
162687,16
50849,16
205351,16
255389,16
23888,16
9234,10
27836,10
96539,10
11915,10
63734,10
57001,10
32251,10
30313,10
195027,10
9446,8
90634,8
165259,8
11063,8
208384,8
13409,8
31774,8
134846,8
74605,8
130036,16
9581,14
256639,14
67045,14
194504,19
77891,14
70501,14
164055,14
90216,10
95038,10
82433,10
121753,10
83280,10
89553,10
95058,18
25572,2
10071,19
106404,19
60830,19
133948,19
157242,19
10082,2
60881,19
10194,17
213700,17
162184,17
219410,17
199386,17
20385,17
62076,17
221735,17
168228,17
193935,17
10337,16
135576,16
80646,16
202028,16
14852,16
87863,16
93283,16
117718,16
154382,16
10474,19
101414,19
257654,19
65679,19
10486,19
101029,19
100412,16
37073,19
179429,1
173219,1
