cluster_id,hour,top_category
3,0,Trade School
3,1,Trade School
3,2,Trade School
3,3,Trade School
3,4,Trade School
3,5,Trade School
3,6,Trade School
3,7,Trade School
3,8,Bus Station
3,9,Train Station
3,10,Subway
3,11,Food Court
3,12,Coffee Shop
3,13,Fast Food Restaurant
3,14,Nightclub
3,15,Nightclub
3,16,Chinese Restaurant
3,17,Nightclub
3,18,Nightclub
3,19,Nightclub
3,20,Nightclub
3,21,Coffee Shop
3,22,Fast Food Restaurant
3,23,Trade School
3,24,Trade School
3,25,Trade School
3,26,Trade School
3,27,Trade School
3,28,Trade School
3,29,Trade School
3,30,Trade School
3,31,Trade School
3,32,Train Station
3,33,Train Station
3,34,Bus Station
3,35,Multiplex
3,36,Food Court
3,37,Food Court
3,38,Nightclub
3,39,Nightclub
3,40,Food Court
3,41,Nightclub
3,42,Fast Food Restaurant
3,43,Bus Station
3,44,Nightclub
3,45,Coffee Shop
3,46,Train Station
3,47,Trade School
3,48,Trade School
3,49,Trade School
3,50,Trade School
3,51,Trade School
3,52,Trade School
3,53,Trade School
3,54,Trade School
3,55,Trade School
3,56,Subway
3,57,Bus Station
3,58,Food Court
3,59,Food Court
3,60,Train Station
3,61,Multiplex
3,62,Coffee Shop
3,63,Nightclub
3,64,Nightclub
3,65,Coffee Shop
3,66,Coffee Shop
3,67,Nightclub
3,68,Nightclub
3,69,Food Court
3,70,Trade School
3,71,Trade School
3,72,Trade School
3,73,Trade School
3,74,Trade School
3,75,Trade School
3,76,Trade School
3,77,Trade School
3,78,Trade School
3,79,Trade School
3,80,Subway
3,81,Bus Station
3,82,Asian Restaurant
3,83,Asian Restaurant
3,84,Coffee Shop
3,85,Grocery Store
3,86,Nightclub
3,87,Multiplex
3,88,Food Court
3,89,Nightclub
3,90,Coffee Shop
3,91,Fast Food Restaurant
3,92,Coffee Shop
3,93,Bus Station
3,94,Bus Station
3,95,Trade School
3,96,Trade School
3,97,Trade School
3,98,Trade School
3,99,Trade School
3,100,Trade School
3,101,Train Station
3,102,Trade School
3,103,Train Station
3,104,Train Station
3,105,High School
3,106,Multiplex
3,107,Chinese Restaurant
3,108,Coffee Shop
3,109,Fast Food Restaurant
3,110,Nightclub
3,111,Nightclub
3,112,Nightclub
3,113,Nightclub
3,114,Fast Food Restaurant
3,115,Nightclub
3,116,Nightclub
3,117,Chinese Restaurant
3,118,Bus Station
3,119,Food Court
3,120,Subway
3,121,Bus Station
3,122,Train Station
3,123,Hotel
3,124,Food Court
3,125,Food Court
3,126,Food Court
3,127,Subway
3,128,Train Station
3,129,Train Station
3,130,Food Court
3,131,Food Court
3,132,Food Court
3,133,Fast Food Restaurant
3,134,Fast Food Restaurant
3,135,Nightclub
3,136,Food Court
3,137,Nightclub
3,138,Nightclub
3,139,Grocery Store
3,140,Coffee Shop
3,141,Nightclub
3,142,Hotel
3,143,Grocery Store
3,144,Church
3,145,Subway
3,146,Train Station
3,147,Church
3,148,Church
3,149,Chinese Restaurant
3,150,Food Court
3,151,General College & University
3,152,Caf
3,153,Subway
3,154,Food Court
3,155,Food Court
3,156,Coffee Shop
3,157,Fast Food Restaurant
3,158,Food Court
3,159,Food Court
3,160,Food Court
3,161,Nightclub
3,162,Nightclub
3,163,Fast Food Restaurant
3,164,Bus Station
3,165,Bus Station
3,166,Bus Station
3,167,Trade School
2,0,General College & University
2,1,General College & University
2,2,General College & University
2,3,General College & University
2,4,General College & University
2,5,General College & University
2,6,General College & University
2,7,General College & University
2,8,General College & University
2,9,General College & University
2,10,Train Station
2,11,General College & University
2,12,Coffee Shop
2,13,Multiplex
2,14,Fast Food Restaurant
2,15,Nightclub
2,16,Nightclub
2,17,Nightclub
2,18,Bus Station
2,19,Bus Station
2,20,Nightclub
2,21,Bus Station
2,22,General College & University
2,23,General College & University
2,24,General College & University
2,25,General College & University
2,26,General College & University
2,27,General College & University
2,28,General College & University
2,29,General College & University
2,30,General College & University
2,31,General College & University
2,32,Food Court
2,33,General College & University
2,34,General College & University
2,35,General College & University
2,36,Multiplex
2,37,Train Station
2,38,Fast Food Restaurant
2,39,Coffee Shop
2,40,Nightclub
2,41,Bus Station
