user_id,cluster
16,11
112206,1
4400,2
30892,11
106718,16
49801,4
182327,2
228596,5
200811,7
70870,2
37841,5
73,7
20331,7
221896,9
4047,7
95885,7
124238,7
248,7
67281,7
13409,9
2371,7
164843,7
126,15
467,15
1256,15
25961,15
1011,13
12482,13
2228,13
1470,13
15681,2
143,15
4441,15
24323,15
19671,15
45284,15
72423,7
11655,15
38921,15
5948,15
30163,15
888,15
151,10
172443,10
226045,10
164968,10
89442,10
72463,10
46881,10
155197,10
27236,10
197228,10
16746,10
210,13
6067,13
1054,13
5511,13
124671,13
174670,13
22975,13
912,13
160621,13
225281,13
94114,13
221,7
1410,7
76341,7
74478,7
81913,7
25178,7
3955,7
199599,14
170699,7
100246,15
140557,7
128939,7
29651,7
37715,17
197116,17
201430,9
41692,7
289,17
2967,17
16135,17
109609,17
39028,15
354,13
22320,7
4215,13
984,17
296,17
19031,3
17272,3
94513,17
73096,13
69904,3
28084,17
72276,17
16510,17
86739,17
42300,17
310,13
2768,13
7751,13
22608,13
4687,13
2108,13
21292,13
78111,13
47780,13
322,17
957,17
16288,17
37305,17
37636,12
74111,9
6565,17
86730,17
47812,17
124075,17
2391,9
1772,13
1495,13
134879,13
19261,13
76462,13
89526,13
60881,13
377,5
45424,18
23222,1
1997,17
232144,5
88495,5
60853,5
7973,7
49777,5
240909,5
412,7
10665,18
27098,7
16809,7
196661,7
1164,15
11922,7
35446,18
80240,18
203272,7
241154,15
437,7
39037,7
10351,7
12830,7
42027,7
113421,7
153836,7
141066,7
106609,15
17745,15
2252,15
61930,15
25181,15
18034,15
574,16
79052,16
30288,16
84093,16
125953,16
64150,16
163839,16
43391,16
77211,16
114855,16
117085,16
800,17
96714,17
1402,17
2135,17
165359,17
62409,17
7035,17
4860,17
14139,17
848,2
225576,2
104055,2
94860,2
98121,2
19441,2
31511,2
71476,1
56334,15
180802,2
107315,15
45021,15
30720,15
907,16
228676,16
246565,16
192258,16
94934,16
39863,16
2941,13
19222,13
38475,13
212610,13
219805,13
67438,17
56325,17
42910,17
13904,17
17488,17
26006,17
56681,17
3260,7
10957,17
49649,7
10968,13
4068,13
4000,13
1014,17
29568,17
25014,17
1035,0
47349,0
3524,0
170372,0
97082,0
4264,0
6845,0
14948,0
73775,0
30543,15
70554,18
32345,13
136926,13
38192,15
24468,15
37027,15
4989,15
106250,15
131467,15
53214,15
201609,15
10585,15
27989,15
74228,15
72427,15
1304,17
99934,17
11160,17
8173,17
96788,17
1326,17
133026,17
174313,17
18252,17
45041,7
108010,7
4876,7
1623,17
26489,17
188795,17
234374,17
155770,17
3519,17
12763,13
1865,4
74283,4
161755,4
61854,4
93761,4
18045,4
259162,4
79241,4
65679,4
94361,4
126363,4
78593,17
55120,14
59952,14
105049,17
22620,17
212913,17
211221,17
128591,14
80154,14
158618,17
2062,17
249567,17
200368,17
3361,17
213636,13
18624,13
46639,13
2126,15
11546,15
19626,15
47727,15
2400,15
71769,15
74343,15
53467,15
170921,17
2736,17
70511,13
2234,10
108021,10
181170,10
234595,10
9975,14
74605,10
76783,10
140817,10
79065,18
87991,10
90216,14
53742,15
54189,15
78564,15
40776,15
227689,15
2317,17
32841,7
32621,17
150435,19
197408,17
50817,17
121908,19
44805,7
98104,7
2390,16
48263,16
24939,16
208037,16
174870,16
19044,16
252729,5
46019,5
109603,9
72738,9
163304,9
111894,9
52438,9
218177,9
111152,9
123259,14
148118,15
103458,15
2978,15
2504,17
78426,16
85872,17
63277,17
46216,17
67085,17
21418,17
39182,17
39625,17
2739,0
10521,0
96736,7
48380,9
10032,17
145229,0
189683,18
222321,0
3307,11
51792,0
2746,2
16892,2
44271,2
50623,2
25812,2
23519,2
188703,2
77124,2
90256,2
28039,2
238510,2
2770,17
2820,15
20633,15
27877,15
234135,15
36853,15
2862,17
111935,17
3842,17
111692,17
53918,2
44557,2
6909,2
121270,2
2877,7
138816,7
52788,7
28416,4
189223,4
198649,7
33177,7
98734,7
41323,7
39315,13
259167,13
151188,17
43668,17
18277,17
238927,17
9860,17
5354,17
3154,4
91098,4
117522,4
145765,4
29890,4
166789,4
149113,4
41001,4
14388,4
158687,4
259218,4
3172,5
190717,5
103345,7
74946,18
48933,5
4402,5
7153,17
104983,7
103495,3
3199,6
90407,6
100412,6
18563,6
12764,13
86879,6
39404,13
57107,6
63664,6
45986,6
85243,18
123988,7
105413,11
109337,2
41160,11
45086,11
126532,11
188274,11
142771,2
88356,11
188359,2
3349,17
41607,17
182303,17
160232,17
167062,17
179735,17
8127,17
33013,17
55249,17
34492,0
160757,0
63113,0
3544,13
12390,17
60380,13
8253,13
184445,13
3559,17
117331,15
3606,17
162311,0
52170,17
223095,17
19914,17
122278,9
5358,17
3671,18
205351,18
162687,18
123495,18
48792,18
9165,18
193360,18
210759,18
182146,18
121464,18
139083,18
3785,9
23679,9
24045,14
232929,5
102900,9
224795,5
62004,5
66067,7
60490,5
40994,5
3797,17
21942,17
64094,17
19787,17
3855,7
18823,15
244491,17
46106,16
249015,7
10486,7
68427,13
4029,3
12304,7
15098,3
128968,3
166127,3
140609,3
216053,12
70277,3
82921,19
4041,9
141897,9
12109,9
82282,9
140638,9
41716,16
193663,1
105493,11
164768,16
71720,7
65412,7
166774,7
4119,7
234158,7
128194,7
42793,7
56817,7
99727,7
117764,7
179752,13
77081,13
54415,13
156608,7
138678,17
7532,13
4239,5
119660,5
13358,5
174407,5
11431,5
178368,5
238389,5
13115,5
150491,0
32825,0
117080,0
265005,2
28443,2
117968,2
51236,2
78848,2
83819,2
140390,2
241179,2
118349,2
23635,15
5221,15
4667,15
208656,14
18246,15
150228,7
82056,14
144834,7
31672,14
4678,17
27976,17
27760,15
220915,7
59443,14
4774,0
118605,0
104081,0
199614,0
169071,0
154420,0
122764,0
36723,0
81858,0
115810,1
153883,0
4865,9
114154,9
136174,9
56295,2
139174,2
174879,2
78498,9
140431,2
4978,9
195938,9
232448,9
59931,16
148024,9
202218,9
77191,16
134508,9
74407,9
16581,9
64513,16
107292,15
81046,15
121211,18
34402,18
201191,15
5276,1
162809,0
67789,1
181433,1
225593,1
61108,0
171248,16
8025,9
37073,1
91257,1
5287,13
96344,13
22809,13
99113,13
156521,13
48954,13
5307,12
10672,12
93647,12
233036,4
106573,12
175962,12
84027,12
206121,9
13826,9
112947,17
24525,17
5427,7
31758,7
103741,7
221155,14
5607,17
36060,5
245883,5
6147,17
77773,17
25572,17
67874,19
27362,17
6305,18
31536,18
70022,18
68453,18
173680,18
234093,18
126525,18
115048,18
41779,18
6342,7
132329,10
89905,14
47626,0
6541,16
31581,16
250710,16
122186,5
50740,16
6624,15
239290,7
141426,15
55191,15
165425,15
6791,5
125172,0
178865,5
65349,9
11135,5
164832,5
76266,1
129326,0
91238,2
238460,2
132593,2
34376,2
203821,2
18733,2
63847,2
149607,2
42375,2
29903,2
31165,17
7050,16
54295,16
56351,1
41964,16
7076,14
87925,14
166668,4
204008,14
28042,14
13269,14
103323,14
75741,14
55180,14
7087,9
18402,9
20526,9
65506,9
51533,9
173219,9
13598,13
134992,9
24118,9
40055,17
7177,0
7179,16
105592,16
95782,16
63360,16
215409,17
225189,16
195121,17
7541,19
145144,0
84059,8
210546,16
159969,9
23686,16
67708,15
90501,9
24864,13
149528,16
83197,19
7659,3
72795,3
21033,3
82055,3
34530,3
212858,3
233890,17
125515,3
142283,3
29031,13
221362,5
179397,9
147728,15
10071,7
34229,15
44634,7
154566,9
105475,9
244922,1
201693,16
48415,9
221847,9
8029,2
79653,2
42025,2
59831,2
24008,2
132877,2
139680,2
75364,2
8066,0
8139,1
238886,1
108393,16
80219,1
67265,1
85101,1
200522,1
16273,9
115846,0
218768,1
260918,17
156937,1
78766,17
87480,8
71426,13
44304,13
77808,13
8273,9
181822,9
202475,9
95044,9
242981,9
240049,1
48815,9
176906,1
168629,1
233512,9
8490,13
30378,13
8568,16
69290,1
207520,16
259818,16
179335,1
8780,9
225700,9
184543,16
30794,9
85007,9
254874,19
219221,9
60087,9
140900,9
8796,17
8849,16
18633,16
165989,16
28120,16
160601,16
10474,16
55363,16
162054,16
213330,16
172258,3
64349,16
9111,2
102166,2
75687,2
105636,19
96121,2
84885,2
157944,2
135375,18
15259,18
57358,18
210163,18
38114,18
20528,18
155914,18
9234,14
27836,14
11915,14
63734,14
32251,14
96539,14
57001,14
30313,14
9318,17
78162,17
46324,17
9446,9
90634,9
208110,9
11063,9
33690,16
76165,5
86536,4
37802,5
9581,17
194504,9
65124,17
158973,17
32945,17
243608,14
95038,14
89553,14
121753,14
63073,14
82433,14
83083,7
53505,7
10082,17
138623,13
178074,17
10194,1
162184,1
118435,1
252664,16
261274,1
62076,1
20385,1
213700,1
170694,1
194869,1
144278,1
10337,18
80646,18
135576,18
79585,18
87863,18
202028,18
226436,18
58421,16
19030,0
98776,16
173192,7
72632,3
21051,0
155178,1
101414,1
40775,18
14922,6
204187,12
94183,12
143564,12
166559,12
65695,12
127046,12
10748,5
127226,5
119692,5
25462,5
220461,5
37970,5
86707,2
87944,5
10887,1
110150,1
202455,1
104441,1
142749,1
179429,1
156452,1
142250,4
199386,1
118400,1
220176,7
32629,13
101860,16
55918,5
63554,1
11195,16
199577,16
160998,9
121554,1
37170,1
219530,1
13869,5
120395,5
230506,5
107828,15
14174,14
28891,7
49984,7
163330,9
51349,9
207931,17
170401,6
85890,9
108510,9
235954,16
89624,7
25478,19
87016,17
95750,17
12443,18
71992,18
257124,9
