POI Category,Avg Check-ins per Day
Bus Station,1.0
Residential Building (Apartment / Condo),1.0
Parking,1.0
High School,1.0
Other Great Outdoors,1.0
Home (private),1.0
Cafeteria,1.0
Housing Development,1.0
Indian Restaurant,1.0
Mall,1.1428571428571428
Church,1.0
Coffee Shop,1.0
Tea Room,1.0
Fast Food Restaurant,1.0
Office,1.0
Train Station,1.5
Coworking Space,1.0714285714285714
Food Court,1.0
Dim Sum Restaurant,1.0
General College & University,1.0
Asian Restaurant,1.0
Subway,1.0
College Engineering Building,1.0
College Administrative Building,1.0
College Technology Building,1.0
College Cafeteria,1.0
College Science Building,1.0
College Arts Building,1.0
