POI Category,Avg Check-ins per Day
Diner,1.0
Mall,1.2647058823529411
Burger Joint,1.0
Home (private),1.1206896551724137
High School,1.0
Bus Station,1.1333333333333333
Bus Line,1.0
Fast Food Restaurant,1.0
Other Great Outdoors,1.0
Food Court,1.0
Residential Building (Apartment / Condo),1.0
Building,1.0
Bridge,1.0
Office,1.0
Chinese Restaurant,1.0
Train Station,1.1
Parking,1.0
Sandwich Place,1.0
Pier,1.0
Temple,1.0
Coffee Shop,1.0
Coworking Space,1.44
Subway,1.1176470588235294
Gym / Fitness Center,1.0526315789473684
Snack Place,1.0
Gym,1.125
Grocery Store,1.0
Pool Hall,1.0
Bowling Alley,1.0
Government Building,1.0
General Entertainment,1.0
Asian Restaurant,1.0
Fried Chicken Joint,1.0
College Engineering Building,1.0
College Arts Building,1.0
Furniture / Home Store,1.0
College Stadium,1.0
General College & University,1.0
College Academic Building,1.0
Market,1.0
College Library,1.0
College Administrative Building,1.0
Clothing Store,1.0
Pizza Place,1.0
Sporting Goods Shop,1.0
Thai Restaurant,1.0
