POI Category,Avg Check-ins per Day
Church,1.0
Subway,1.3442622950819672
Bus Station,1.2857142857142858
Mall,1.069767441860465
Bank,1.0952380952380953
Home (private),1.2365591397849462
Food Court,1.0714285714285714
Train Station,1.119047619047619
Miscellaneous Shop,1.0
Department Store,1.1666666666666667
Ice Cream Shop,1.0
Shoe Store,1.0
Taxi,1.0
Korean Restaurant,1.0
Food & Drink Shop,1.0
Building,1.0666666666666667
Road,1.0
Fried Chicken Joint,1.0
Nightclub,1.0
Coffee Shop,1.0
Fast Food Restaurant,1.0
Boutique,1.0
Women's Store,1.0
Chinese Restaurant,1.0454545454545454
Karaoke Bar,1.0
Movie Theater,1.0
Bus Line,1.0
Caf,1.125
Grocery Store,1.0
Office,1.380952380952381
French Restaurant,1.0
Rest Area,1.0
Parking,1.0
Residential Building (Apartment / Condo),1.0666666666666667
Multiplex,1.0
Government Building,1.0833333333333333
Steakhouse,1.0
Asian Restaurant,1.0
Dessert Shop,1.0
Cosmetics Shop,1.0
Bar,1.0
Housing Development,1.0
Gym / Fitness Center,1.0
Food,1.0
Flea Market,1.0
Convenience Store,1.024390243902439
Clothing Store,1.0
Other Nightlife,1.0
Ramen /  Noodle House,1.0
Electronics Store,1.0
Furniture / Home Store,1.0
Arcade,1.0
Neighborhood,1.1428571428571428
Light Rail,1.0
Pub,1.0
Auditorium,1.0
Bakery,1.0
Other Great Outdoors,1.0
Indian Restaurant,1.0
Trade School,1.0
Dim Sum Restaurant,1.0
Stadium,1.0
Drugstore / Pharmacy,1.0
Temple,1.0
Coworking Space,1.0
Tea Room,1.0
Newsstand,1.0
Fish & Chips Shop,1.0
Burger Joint,1.0
Snack Place,1.0
Hotel,1.0
Seafood Restaurant,1.0
Breakfast Spot,1.0
Event Space,1.0
Japanese Restaurant,1.0
Garden,1.0
BBQ Joint,1.0
General Entertainment,1.0
Plaza,1.0
Financial or Legal Service,1.1
Gym,1.0
Rental Car Location,1.0
Park,1.0
Donut Shop,1.0
Accessories Store,1.0
Restaurant,1.0
