user_id,cluster,dominant_poi_type,aux_poi_types
21418,0,Subway,Mall;Clothing Store;Grocery Store;Chinese Restaurant;Fried Chicken Joint
49530,0,Mall,Nightclub;Train Station;Airport;Subway;Multiplex
82310,2,Mall,Church;Chinese Restaurant;Airport Terminal;Asian Restaurant;Restaurant
74138,0,Mall,Nightclub;Clothing Store;Bar;Caf;Coffee Shop
56776,0,Mall,Nightclub;Trade School;Bar;Asian Restaurant;Food Court
198384,0,Hospital,Mall;Food Court;Train Station;Bus Line;Bus Station
105049,0,Subway,Trade School;Bus Station;Mall;Coffee Shop;Food Court
174198,0,Coffee Shop,Mall;Food Court;Fast Food Restaurant;Nightclub;Caf
72021,0,Mall,Chinese Restaurant;Airport Terminal;American Restaurant;Coffee Shop;Food Court
203821,0,Nightclub,Mall;Bar;Coffee Shop
126,4,Subway,Bus Line;Fast Food Restaurant;Mall;Train Station;Bus Station
4678,2,Bus Station,Mall;Train Station;Coffee Shop;Bus Line;Subway
64094,0,Train Station,Subway;Trade School;Bus Station;Mall;Department Store
122278,0,Mall,Subway;Chinese Restaurant;Department Store;Grocery Store;Bar
126476,0,Bus Line,School;Subway;Train Station;Food Court;Grocery Store
38192,4,Train Station,Bus Station;Bus Line;Subway;Mall;Grocery Store
198469,0,High School,Train Station;General College & University;Government Building;Mall;Bus Station
38475,4,Bus Line,High School;Bus Station;Coffee Shop;Chinese Restaurant;Food Court
24592,2,General College & University,American Restaurant;Bar;Food Court;Burger Joint;Caf
23956,0,Mall,Train Station;Church;Subway;Asian Restaurant;Grocery Store
37027,0,Train Station,Mall;Bus Station;Fast Food Restaurant;Subway;Multiplex
56817,0,Bus Station,Subway;Food Court;Mall;Church;Train Station
1054,4,Bus Station,Bus Line;Train Station;High School;Mall;Subway
148499,0,Mall,Dessert Shop;Asian Restaurant;Food Court;Multiplex;Airport Terminal
136926,0,Bus Line,Bus Station;Subway;Japanese Restaurant
2967,4,Subway,Mall;Bus Station;Train Station;Government Building;Food Court
259148,0,Seafood Restaurant,Caf;Italian Restaurant;Japanese Restaurant;University;Coffee Shop
