year,month,day,hour,count
2012,4,4,14,1
2012,4,10,10,1
2012,4,11,15,1
2012,4,12,15,1
2012,4,13,19,1
2012,4,14,11,1
2012,4,16,17,2
2012,4,16,20,1
2012,4,16,22,1
2012,4,17,20,2
2012,4,18,23,1
2012,4,19,19,1
2012,4,20,13,2
2012,4,20,17,1
2012,4,20,18,1
2012,4,20,19,1
2012,4,20,20,1
2012,4,20,21,1
2012,4,21,14,3
2012,4,21,15,2
2012,4,21,16,1
2012,4,21,18,2
2012,4,22,19,2
2012,4,23,11,1
2012,4,23,15,1
2012,4,24,15,2
2012,4,26,8,1
2012,4,26,10,1
2012,4,26,12,1
2012,4,26,13,1
2012,4,27,19,1
2012,4,28,19,1
2012,4,28,20,1
2012,4,29,11,1
2012,4,29,17,1
2012,5,2,11,1
2012,5,7,11,1
2012,5,7,12,1
2012,5,7,18,1
2012,5,9,8,1
2012,5,9,13,2
2012,5,9,16,1
2012,5,10,8,1
2012,5,11,8,1
2012,5,11,18,1
2012,5,11,19,1
2012,5,14,11,1
2012,5,14,14,1
2012,5,14,16,1
2012,5,14,17,1
2012,5,16,10,1
2012,5,17,11,1
2012,5,22,13,1
2012,5,24,9,1
2012,5,24,10,1
2012,5,28,11,1
2012,5,29,12,1
2012,5,29,13,1
2012,5,29,18,1
2012,5,30,11,1
2012,7,3,13,1
2012,11,23,19,1
2012,11,23,21,1
2012,11,24,18,1
2012,11,25,10,1
2012,11,26,12,1
2012,12,1,17,1
2012,12,8,16,1
2012,12,8,18,1
2012,12,9,12,3
2012,12,16,11,1
2012,12,17,16,1
2012,12,21,17,1
2012,12,23,11,1
2013,1,4,12,1
2013,3,15,16,1
2013,4,20,20,1
2013,6,7,22,1
2013,6,9,15,1
2013,7,4,17,1
2013,7,18,14,1
2013,7,18,17,1
2013,7,20,19,1
2013,7,25,16,1
2013,8,8,18,1
2013,8,15,17,1
2013,8,24,19,1
2013,8,29,17,1
2013,9,3,17,1
