cluster,peak_value,peak_category,peak_time,interpretation
0,0.02036660177407109,Nightclub,Fri 15:00,Cluster 0: Highest activity for 'Nightclub' at Fri 15:00 (value=0.0204)
1,0.01917669562267072,Mall,Sun 09:00,Cluster 1: Highest activity for 'Mall' at Sun 09:00 (value=0.0192)
2,0.009566178800161584,Mall,Fri 10:00,Cluster 2: Highest activity for 'Mall' at Fri 10:00 (value=0.0096)
3,0.007122809685932865,Mall,Tue 10:00,Cluster 3: Highest activity for 'Mall' at Tue 10:00 (value=0.0071)
4,0.01317035375951503,General College & University,Thu 00:00,Cluster 4: Highest activity for 'General College & University' at Thu 00:00 (value=0.0132)
5,0.0292578545618473,Nightclub,Fri 13:00,Cluster 5: Highest activity for 'Nightclub' at Fri 13:00 (value=0.0293)
6,0.011056029054205703,Mall,Sat 12:00,Cluster 6: Highest activity for 'Mall' at Sat 12:00 (value=0.0111)
7,0.007277411109629833,Gym,Wed 11:00,Cluster 7: Highest activity for 'Gym' at Wed 11:00 (value=0.0073)
8,0.009678460421645798,Mall,Sat 09:00,Cluster 8: Highest activity for 'Mall' at Sat 09:00 (value=0.0097)
9,0.006265299842026697,Mall,Sun 09:00,Cluster 9: Highest activity for 'Mall' at Sun 09:00 (value=0.0063)
10,0.01680236557163575,Trade School,Mon 00:00,Cluster 10: Highest activity for 'Trade School' at Mon 00:00 (value=0.0168)
11,0.0462001976049487,High School,Thu 22:00,Cluster 11: Highest activity for 'High School' at Thu 22:00 (value=0.0462)
12,0.02114930704024756,Church,Sun 09:00,Cluster 12: Highest activity for 'Church' at Sun 09:00 (value=0.0211)
13,0.008747857234383758,Mall,Sat 10:00,Cluster 13: Highest activity for 'Mall' at Sat 10:00 (value=0.0087)
14,0.016148930431218945,Mall,Sat 09:00,Cluster 14: Highest activity for 'Mall' at Sat 09:00 (value=0.0161)
15,0.0065155260255836235,High School,Tue 23:00,Cluster 15: Highest activity for 'High School' at Tue 23:00 (value=0.0065)
16,0.025750977382596227,High School,Tue 23:00,Cluster 16: Highest activity for 'High School' at Tue 23:00 (value=0.0258)
17,0.007843294046294493,Mall,Sun 08:00,Cluster 17: Highest activity for 'Mall' at Sun 08:00 (value=0.0078)
18,0.006336415810558474,Mall,Thu 10:00,Cluster 18: Highest activity for 'Mall' at Thu 10:00 (value=0.0063)
19,0.015910364984633774,Mall,Sat 09:00,Cluster 19: Highest activity for 'Mall' at Sat 09:00 (value=0.0159)
20,0.03327789005915156,Mall,Sun 06:00,Cluster 20: Highest activity for 'Mall' at Sun 06:00 (value=0.0333)
21,0.04048193141828797,Mall,Fri 11:00,Cluster 21: Highest activity for 'Mall' at Fri 11:00 (value=0.0405)
22,0.03809585006778125,Mall,Sun 10:00,Cluster 22: Highest activity for 'Mall' at Sun 10:00 (value=0.0381)
23,0.0400916107196027,Mall,Sat 10:00,Cluster 23: Highest activity for 'Mall' at Sat 10:00 (value=0.0401)
24,0.0286108332514175,Trade School,Mon 00:00,Cluster 24: Highest activity for 'Trade School' at Mon 00:00 (value=0.0286)
25,0.04808158429641097,Mall,Sat 12:00,Cluster 25: Highest activity for 'Mall' at Sat 12:00 (value=0.0481)
26,0.05564225357185438,Mall,Sat 11:00,Cluster 26: Highest activity for 'Mall' at Sat 11:00 (value=0.0556)
