cluster_id,hour,top_category
3,0,Hotel
3,1,Subway
3,2,Asian Restaurant
3,3,Mall
3,4,Mall
3,5,Fast Food Restaurant
3,6,Mall
3,7,Mall
3,8,Mall
3,9,Caf
3,10,Mall
3,11,Mall
3,12,Mall
3,13,Hotel
3,14,Hotel
3,15,Hotel
3,16,Hotel
3,17,Nightclub
3,18,Fast Food Restaurant
3,19,Multiplex
3,20,Hotel
3,21,Coffee Shop
3,22,Hotel
3,23,Hotel
3,24,Chinese Restaurant
3,25,Hotel
3,26,Mall
3,27,Hotel
3,28,Hotel
3,29,Mall
3,30,Hotel
3,31,Mall
3,32,Mall
3,33,Mall
3,34,Mall
3,35,Mall
3,36,Mall
3,37,Mall
3,38,Hotel
3,39,Hotel
3,40,Asian Restaurant
3,41,Fast Food Restaurant
3,42,Fast Food Restaurant
3,43,Mall
3,44,Mall
3,45,Hotel
3,46,Hotel
3,47,Hotel
3,48,Chinese Restaurant
3,49,Hotel
3,50,Hotel
3,51,Hotel
3,52,Mall
3,53,Mall
3,54,Mall
3,55,Mall
3,56,Mall
3,57,Mall
3,58,Mall
3,59,Mall
3,60,Mall
3,61,Chinese Restaurant
3,62,Fast Food Restaurant
3,63,Hotel
3,64,Nightclub
3,65,Food Court
3,66,Hotel
3,67,Train Station
3,68,Nightclub
3,69,Mall
3,70,Hotel
3,71,Hotel
3,72,Caf
3,73,Hotel
3,74,Mall
3,75,Mall
3,76,Food Court
3,77,Mall
3,78,Mall
3,79,Food Court
3,80,Mall
3,81,Mall
3,82,Hotel
3,83,Mall
3,84,Food Court
3,85,Mall
3,86,Chinese Restaurant
3,87,Coffee Shop
3,88,Nightclub
3,89,Hotel
3,90,Chinese Restaurant
3,91,Mall
3,92,Mall
3,93,Food Court
3,94,Hotel
3,95,Hotel
3,96,Bus Station
3,97,Hotel
3,98,Mall
3,99,Hotel
3,100,Hotel
3,101,Hotel
3,102,Mall
3,103,Mall
3,104,Mall
3,105,Mall
3,106,Mall
3,107,Mall
3,108,Mall
3,109,Mall
3,110,Hotel
3,111,Nightclub
3,112,Hotel
3,113,Caf
