POI Category,Avg Check-ins per Day
College Quad,1.0
College Arts Building,1.0
Housing Development,1.3055555555555556
High School,1.1538461538461537
College Library,1.0
Airport Terminal,1.0
Bus Line,1.0
Fast Food Restaurant,1.0
Mall,1.5
Road,1.5416666666666667
Snack Place,1.1
Train Station,1.3793103448275863
Bus Station,1.411764705882353
Convenience Store,1.0
School,1.0
College Auditorium,1.0
Office,1.0
Home (private),1.2727272727272727
Subway,1.0
Light Rail,1.0
Bridge,1.0
Theme Park,1.0
Moving Target,1.0
College Theater,1.0
College Classroom,1.0
