POI Category,Avg Check-ins per Day
Food Court,1.125
Ramen /  Noodle House,1.0
Home (private),1.3445378151260505
Playground,1.0
Office,1.0
Gas Station / Garage,1.0
Convenience Store,1.0
Subway,1.0
Residential Building (Apartment / Condo),1.0625
Other Great Outdoors,1.0
College Engineering Building,1.1538461538461537
Fast Food Restaurant,1.1538461538461537
Mall,1.1818181818181819
Japanese Restaurant,1.0666666666666667
Lingerie Store,1.0
Chinese Restaurant,1.0666666666666667
Post Office,1.0
Train Station,1.0
Sushi Restaurant,1.0
Thai Restaurant,1.25
Soup Place,1.0
Coffee Shop,1.2142857142857142
Government Building,1.0
Pizza Place,1.0
Cosmetics Shop,2.0
Bookstore,1.5
Building,1.375
Caf,1.0
Community College,1.08
Grocery Store,1.0
Dance Studio,1.0
American Restaurant,1.0
Spa / Massage,1.0
Hotel,1.0
Bakery,1.0
Bridge,1.0
Department Store,1.0
Salon / Barbershop,1.0
Scandinavian Restaurant,1.0
Juice Bar,1.0
Snack Place,1.0
Doctor's Office,1.0
Library,1.0
Parking,1.0
Burger Joint,1.0
Asian Restaurant,1.0
Plaza,1.0
Nightclub,1.0
Italian Restaurant,1.0
Seafood Restaurant,1.2
Malaysian Restaurant,2.0
Vegetarian / Vegan Restaurant,1.0
Miscellaneous Shop,1.0
Flea Market,1.0
Fried Chicken Joint,1.0
Electronics Store,1.25
Sandwich Place,1.0
Dessert Shop,1.0
General Entertainment,1.0
Shop & Service,1.0
Airport Terminal,1.0
Airport,1.0
Donut Shop,1.0
Indian Restaurant,1.0
Theater,1.0
Middle Eastern Restaurant,2.0
Hospital,1.0
Bus Station,1.0
Hardware Store,1.0
Camera Store,1.0
College Lab,1.0
Furniture / Home Store,1.0
Hot Dog Joint,1.0
Food & Drink Shop,1.0
Road,1.0
Moving Target,1.0
Dim Sum Restaurant,1.0
Diner,2.0
Tea Room,1.0
Drugstore / Pharmacy,1.0
Gift Shop,1.0
Gym,1.5
School,1.0
Korean Restaurant,1.0
Mobile Phone Shop,1.0
Event Space,1.0
Coworking Space,1.0
Scenic Lookout,1.0
Resort,1.0
