POI Category,Avg Check-ins per Day
Drugstore / Pharmacy,1.3
Thrift / Vintage Store,1.0
Miscellaneous Shop,1.2
Hospital,1.0
School,1.0294117647058822
Government Building,1.0
Fast Food Restaurant,1.0526315789473684
Bookstore,1.0
Kids Store,1.0
Bank,1.3333333333333333
Burger Joint,1.0
Home (private),1.1986301369863013
Food Truck,1.0
General College & University,1.0
Parking,1.1958762886597938
Concert Hall,1.0
Sushi Restaurant,1.0
Grocery Store,1.2727272727272727
Subway,1.5769230769230769
Food Court,1.0232558139534884
Dim Sum Restaurant,1.0
Design Studio,1.0
Hotel,1.0
Department Store,1.1666666666666667
Cosmetics Shop,1.125
Bus Station,2.1944444444444446
Fried Chicken Joint,1.0
Toy / Game Store,1.0
Gift Shop,1.5
Chinese Restaurant,1.1111111111111112
Library,1.0
Mall,1.271186440677966
Office,1.0714285714285714
Train Station,1.0909090909090908
Clothing Store,1.1578947368421053
Bakery,1.0909090909090908
Rest Area,1.0
Residential Building (Apartment / Condo),1.1666666666666667
Ramen /  Noodle House,1.0
Malaysian Restaurant,1.0
Dog Run,1.0
Pet Store,1.0
Non-Profit,1.0
Boutique,1.0
Coffee Shop,1.1081081081081081
Lingerie Store,1.0909090909090908
Building,1.3125
Electronics Store,1.0
Caf,1.0
Student Center,1.0
Bridge,1.0
Asian Restaurant,1.1
Japanese Restaurant,1.25
BBQ Joint,1.0
Bus Line,1.0
Convenience Store,1.0
Event Space,1.0
Salon / Barbershop,1.0
Road,1.0
Middle Eastern Restaurant,1.0
Indonesian Restaurant,1.0
Gourmet Shop,1.0
German Restaurant,1.0
Flea Market,1.0
Community College,1.0
Indian Restaurant,1.0
Playground,1.0769230769230769
Other Great Outdoors,1.3333333333333333
Dessert Shop,1.1666666666666667
Optical Shop,1.0
Park,1.0
Garden,1.0
Breakfast Spot,1.0
Ice Cream Shop,1.0
Juice Bar,1.0
Thai Restaurant,1.0
Plaza,1.0
Italian Restaurant,1.0
Arts & Crafts Store,1.0
Doctor's Office,1.2
Sandwich Place,1.0
Sporting Goods Shop,1.0
Mobile Phone Shop,1.2222222222222223
Seafood Restaurant,1.6666666666666667
Shoe Store,1.0
Women's Store,1.0
Tailor Shop,1.0
Taxi,1.0
Golf Course,1.0
Pool,1.0
Theater,1.0
Skating Rink,1.0
Karaoke Bar,1.5
Lake,1.0
Harbor / Marina,1.0
Bowling Alley,1.0
Post Office,1.0
Housing Development,1.0
Snack Place,1.0
Dance Studio,1.0
Gas Station / Garage,1.0
Beach,1.6666666666666667
Restaurant,1.0
Bar,1.0
Brewery,1.0
Bridal Shop,1.0
Candy Store,1.0
Funeral Home,1.0
Monument / Landmark,1.0
Donut Shop,1.0
Hardware Store,2.0
Conference Room,1.0
Water Park,1.0
Smoke Shop,1.0
Courthouse,1.0
Tea Room,1.0
Hostel,1.0
University,1.0
Steakhouse,1.0
Field,1.0
Tourist Information Center,1.0
Garden Center,1.0
Spa / Massage,1.0
Temple,1.0
Shop & Service,1.0
Gym,1.5
Jewelry Store,1.0
American Restaurant,1.0
Automotive Shop,1.0
Financial or Legal Service,1.0
Resort,1.0
Meeting Room,1.0
