year,month,day,hour,count
2012,4,4,17,1
2012,4,11,22,1
2012,4,12,18,1
2012,4,19,13,2
2012,4,19,14,1
2012,4,19,15,1
2012,4,19,18,1
2012,4,20,19,1
2012,4,24,15,1
2012,4,25,7,1
2012,4,28,11,1
2012,4,28,12,2
2012,4,28,14,1
2012,5,5,14,1
2012,5,11,19,1
2012,5,12,16,1
2012,5,12,18,1
2012,5,12,19,2
2012,5,12,21,1
2012,5,17,12,1
2012,5,17,14,2
2012,5,17,15,1
2012,5,17,16,2
2012,5,18,19,1
2012,5,18,20,1
2012,5,26,8,1
2012,5,27,15,2
2012,5,27,18,1
2012,5,27,20,1
2012,5,27,21,1
2012,5,30,14,2
2012,6,3,21,1
2012,6,7,7,1
2012,6,14,14,1
2012,6,14,18,1
2012,6,14,19,1
2012,6,17,13,1
2012,6,17,14,1
2012,6,17,15,1
2012,6,21,18,1
2012,6,21,19,1
2012,6,21,21,1
2012,7,5,17,1
2012,7,5,18,1
2012,7,6,16,2
2012,7,6,19,1
2012,7,6,22,1
2012,7,13,20,1
2012,7,17,18,2
2012,7,17,20,1
2012,7,18,20,1
2012,7,18,21,1
2012,8,11,17,2
2012,8,11,23,1
2012,8,14,13,2
2012,9,6,9,1
2012,9,15,10,1
2012,9,16,12,1
2012,10,12,13,1
2012,10,13,13,1
2012,10,24,8,1
2012,10,25,12,1
2012,10,26,13,1
2012,10,27,10,2
2012,10,28,18,1
2012,10,29,12,1
2012,10,31,13,1
2012,10,31,17,1
2012,11,1,8,1
2012,11,2,13,1
2012,11,6,12,1
2012,11,12,12,1
2012,11,13,8,1
2012,11,16,6,1
2012,11,17,13,1
2012,11,20,19,1
2012,11,20,21,1
2012,11,21,12,1
2012,11,24,13,1
2012,12,1,13,1
2012,12,3,12,1
2012,12,5,10,2
2012,12,6,12,1
2012,12,9,12,1
2012,12,11,0,1
2012,12,12,12,1
2012,12,13,12,1
2012,12,16,12,1
2012,12,17,12,1
2012,12,18,10,1
2012,12,22,13,1
2012,12,31,12,1
2013,1,4,15,2
2013,1,5,10,1
2013,1,10,10,1
2013,1,13,16,1
2013,1,15,12,1
2013,1,18,11,2
2013,1,22,12,1
2013,1,24,18,1
2013,1,27,9,1
2013,1,28,10,1
2013,1,29,19,1
2013,1,29,20,1
2013,1,29,22,1
2013,1,30,15,1
2013,2,1,13,1
2013,2,2,13,1
2013,2,3,15,1
2013,2,3,16,1
2013,2,7,13,1
2013,2,16,11,1
2013,2,16,18,1
