user_id,peak_hour_range,peak_hour_checkins,peak_day_of_week,peak_day_checkins,peak_month,peak_month_checkins,peak_hour_POI_Mall,peak_hour_POI_Bus Station,peak_hour_POI_Subway,peak_hour_POI_Food Court,peak_hour_POI_Train Station,peak_hour_POI_Coffee Shop,peak_hour_POI_High School,peak_hour_POI_Fast Food Restaurant,peak_hour_POI_Nightclub,peak_hour_POI_Chinese Restaurant,peak_hour_POI_Bus Line,peak_hour_POI_Multiplex,peak_hour_POI_Caf,peak_hour_POI_Hotel,peak_hour_POI_Asian Restaurant,peak_hour_POI_Japanese Restaurant,peak_hour_POI_Church,peak_hour_POI_General College & University,peak_hour_POI_Trade School,peak_hour_POI_Gym,peak_hour_POI_Department Store,peak_hour_POI_Grocery Store,peak_hour_POI_Hospital,peak_hour_POI_Government Building,peak_hour_POI_Fried Chicken Joint,peak_hour_POI_Flea Market,peak_hour_POI_Restaurant,peak_hour_POI_University,peak_hour_POI_Dessert Shop,peak_hour_POI_General Entertainment,peak_hour_POI_Resort,peak_hour_POI_Tea Room,peak_hour_POI_College Academic Building,peak_hour_POI_Airport Terminal,peak_hour_POI_School,peak_hour_POI_Park,peak_hour_POI_Airport,peak_hour_POI_Event Space,peak_hour_POI_Burger Joint,peak_hour_POI_Ramen /  Noodle House,peak_hour_POI_Furniture / Home Store,peak_hour_POI_Bar,peak_hour_POI_Clothing Store,peak_hour_POI_Ice Cream Shop,peak_hour_POI_Boutique,peak_hour_POI_College Cafeteria,peak_hour_POI_Seafood Restaurant,peak_hour_POI_Italian Restaurant,peak_hour_POI_American Restaurant,peak_hour_POI_Sushi Restaurant,peak_day_POI_Mall,peak_day_POI_Bus Station,peak_day_POI_Subway,peak_day_POI_Food Court,peak_day_POI_Train Station,peak_day_POI_Coffee Shop,peak_day_POI_High School,peak_day_POI_Fast Food Restaurant,peak_day_POI_Nightclub,peak_day_POI_Chinese Restaurant,peak_day_POI_Bus Line,peak_day_POI_Multiplex,peak_day_POI_Caf,peak_day_POI_Hotel,peak_day_POI_Asian Restaurant,peak_day_POI_Japanese Restaurant,peak_day_POI_Church,peak_day_POI_General College & University,peak_day_POI_Trade School,peak_day_POI_Gym,peak_day_POI_Department Store,peak_day_POI_Grocery Store,peak_day_POI_Hospital,peak_day_POI_Government Building,peak_day_POI_Fried Chicken Joint,peak_day_POI_Flea Market,peak_day_POI_Restaurant,peak_day_POI_University,peak_day_POI_Dessert Shop,peak_day_POI_General Entertainment,peak_day_POI_Resort,peak_day_POI_Tea Room,peak_day_POI_College Academic Building,peak_day_POI_Airport Terminal,peak_day_POI_School,peak_day_POI_Park,peak_day_POI_Airport,peak_day_POI_Event Space,peak_day_POI_Burger Joint,peak_day_POI_Ramen /  Noodle House,peak_day_POI_Furniture / Home Store,peak_day_POI_Bar,peak_day_POI_Clothing Store,peak_day_POI_Ice Cream Shop,peak_day_POI_Boutique,peak_day_POI_College Cafeteria,peak_day_POI_Seafood Restaurant,peak_day_POI_Italian Restaurant,peak_day_POI_American Restaurant,peak_day_POI_Sushi Restaurant,peak_month_POI_Mall,peak_month_POI_Bus Station,peak_month_POI_Subway,peak_month_POI_Food Court,peak_month_POI_Train Station,peak_month_POI_Coffee Shop,peak_month_POI_High School,peak_month_POI_Fast Food Restaurant,peak_month_POI_Nightclub,peak_month_POI_Chinese Restaurant,peak_month_POI_Bus Line,peak_month_POI_Multiplex,peak_month_POI_Caf,peak_month_POI_Hotel,peak_month_POI_Asian Restaurant,peak_month_POI_Japanese Restaurant,peak_month_POI_Church,peak_month_POI_General College & University,peak_month_POI_Trade School,peak_month_POI_Gym,peak_month_POI_Department Store,peak_month_POI_Grocery Store,peak_month_POI_Hospital,peak_month_POI_Government Building,peak_month_POI_Fried Chicken Joint,peak_month_POI_Flea Market,peak_month_POI_Restaurant,peak_month_POI_University,peak_month_POI_Dessert Shop,peak_month_POI_General Entertainment,peak_month_POI_Resort,peak_month_POI_Tea Room,peak_month_POI_College Academic Building,peak_month_POI_Airport Terminal,peak_month_POI_School,peak_month_POI_Park,peak_month_POI_Airport,peak_month_POI_Event Space,peak_month_POI_Burger Joint,peak_month_POI_Ramen /  Noodle House,peak_month_POI_Furniture / Home Store,peak_month_POI_Bar,peak_month_POI_Clothing Store,peak_month_POI_Ice Cream Shop,peak_month_POI_Boutique,peak_month_POI_College Cafeteria,peak_month_POI_Seafood Restaurant,peak_month_POI_Italian Restaurant,peak_month_POI_American Restaurant,peak_month_POI_Sushi Restaurant
21418,19:00-20:00,23,Friday,29,2012-04,74,2,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,15,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,32,1,1,1,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
49530,19:00-20:00,33,Wednesday,33,2012-04,43,10,1,0,0,1,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,7,0,3,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,8,1,1,0,2,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
82310,20:00-21:00,25,Saturday,24,2012-04,21,5,0,0,1,0,0,0,0,0,4,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,2,2,1,0,6,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74138,20:00-21:00,32,Saturday,44,2012-12,22,15,1,0,0,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
56776,22:00-23:00,42,Thursday,31,2012-04,38,9,0,0,0,0,0,0,2,5,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,6,0,0,2,0,2,0,0,7,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,2,0,1,0,0,7,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
198384,18:00-19:00,9,Wednesday,10,2012-04,24,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105049,07:00-08:00,54,Wednesday,30,2012-05,80,0,2,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,54,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174198,18:00-19:00,19,Wednesday,15,2012-04,29,4,0,0,3,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,2,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72021,19:00-20:00,15,Wednesday,16,2012-07,32,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203821,00:00-01:00,20,Saturday,17,2012-04,30,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,16:00-17:00,114,Saturday,154,2012-05,202,12,5,18,2,4,5,0,8,0,0,18,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3,2,0,0,0,0,0,0,1,3,2,0,0,1,0,0,0,0,0,0,13,11,21,1,14,7,0,10,1,0,19,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,4,0,1,0,2,2,2,0,0,0,0,0,0,1,1,0,0,16,7,38,0,16,3,0,24,0,1,28,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,2,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4678,22:00-23:00,73,Wednesday,75,2012-04,85,3,10,0,1,9,8,0,0,1,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,11,11,7,4,4,1,0,2,0,1,3,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,2,0,0,0,0,1,0,12,10,2,2,7,7,0,2,1,1,5,1,1,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,1,0
64094,05:00-06:00,49,Monday,33,2012-05,43,0,3,22,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
122278,18:00-19:00,34,Friday,20,2012-04,14,9,0,2,1,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
126476,05:00-06:00,39,Wednesday,20,2012-05,41,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,1,4,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
