user_id,num_nodes,num_edges,num_self_loops,cat_Arts & Entertainment,cat_College & University,cat_Food,cat_Great Outdoors,cat_Nightlife Spot,cat_Professional & Other Places,cat_Residence,cat_Shop & Service,cat_Travel & Transport,degree_Arts & Entertainment,degree_College & University,degree_Food,degree_Great Outdoors,degree_Nightlife Spot,degree_Professional & Other Places,degree_Residence,degree_Shop & Service,degree_Travel & Transport
215458,7,21,3,0,0,0,0,0,0,0,0,0,2,0,7,1,0,1,0,5,3
200954,6,15,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,2,6
96788,9,41,5,0,0,0,0,0,0,0,0,0,5,5,8,3,0,4,1,7,6
8273,9,47,6,0,0,0,0,0,0,0,0,0,7,3,8,3,6,7,0,6,6
191064,6,24,4,0,0,0,0,0,0,0,0,0,5,0,6,0,1,3,0,5,4
201374,6,14,2,0,0,0,0,0,0,0,0,0,1,0,4,1,0,5,0,1,2
125516,7,18,3,0,0,0,0,0,0,0,0,0,2,0,3,1,1,4,0,6,1
141426,5,22,4,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,0,5,5
77196,5,9,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,1,1
225593,8,27,3,0,0,0,0,0,0,0,0,0,2,6,5,1,2,2,0,6,3
92890,10,35,5,0,0,0,0,0,0,0,0,0,2,4,9,2,2,3,3,7,2
14174,6,18,2,0,0,0,0,0,0,0,0,0,3,1,3,0,0,2,0,4,5
36819,7,27,5,0,0,0,0,0,0,0,0,0,4,1,6,4,0,4,0,7,1
13131,6,18,3,0,0,0,0,0,0,0,0,0,1,4,3,0,0,1,0,4,5
139277,8,28,5,0,0,0,0,0,0,0,0,0,2,0,5,2,1,4,0,7,4
238389,8,25,2,0,0,0,0,0,0,0,0,0,2,0,4,8,3,3,0,2,2
238886,8,24,2,0,0,0,0,0,0,0,0,0,3,0,7,1,2,3,0,4,2
140609,7,36,4,0,0,0,0,0,0,0,0,0,5,0,7,3,6,6,0,5,4
44382,10,32,4,0,0,0,0,0,0,0,0,0,2,1,9,2,2,2,2,7,3
