Embedding	Clustering	Silhouette	Calinski-Harabasz	Davies-Bouldin
PCA	KMeans	Silhouette: 0.2022084333712628	Calinski-Harabasz: 1138.723176234319	Davies-Bouldin: 3.389618668584569
PCA	Agglomerative	Silhouette: 0.1151775157656374	Calinski-Harabasz: 723.973646416267	Davies-Bouldin: 3.1972413621260047
PCA	DBSCAN	Silhouette: 0.17951079735847922	Calinski-Harabasz: 192.33684270199856	Davies-Bouldin: 1.5610004713765375
PCA	GMM	Silhouette: -0.10464791890918543	Calinski-Harabasz: 178.1925473171108	Davies-Bouldin: 3.795305172733613
t-SNE	KMeans	Silhouette: 0.13793405890464783	Calinski-Harabasz: 706.51416015625	Davies-Bouldin: 2.614225563178843
t-SNE	Agglomerative	Silhouette: 0.11617513746023178	Calinski-Harabasz: 538.4412231445312	Davies-Bouldin: 2.081804497019296
t-SNE	DBSCAN	Silhouette: 0.02090451307594776	Calinski-Harabasz: 128.48233032226562	Davies-Bouldin: 2.0037121015974946
t-SNE	GMM	Silhouette: -0.11485555768013	Calinski-Harabasz: 138.2942657470703	Davies-Bouldin: 3.2000310678980566
UMAP	KMeans	Silhouette: 0.18932919204235077	Calinski-Harabasz: 908.0089721679688	Davies-Bouldin: 1.426308088948533
UMAP	Agglomerative	Silhouette: 0.19330719113349915	Calinski-Harabasz: 1019.990478515625	Davies-Bouldin: 1.027606570079947
UMAP	DBSCAN	Silhouette: 0.03893336281180382	Calinski-Harabasz: 170.41644287109375	Davies-Bouldin: 1.8251754998563452
UMAP	GMM	Silhouette: -0.13219115138053894	Calinski-Harabasz: 175.37940979003906	Davies-Bouldin: 4.229947139279097
VarianceThreshold+PCA	KMeans	Silhouette: 0.2022084333712628	Calinski-Harabasz: 1138.723176234319	Davies-Bouldin: 3.389618668584569
VarianceThreshold+PCA	Agglomerative	Silhouette: 0.1151775157656374	Calinski-Harabasz: 723.973646416267	Davies-Bouldin: 3.1972413621260047
VarianceThreshold+PCA	DBSCAN	Silhouette: 0.17951079735847922	Calinski-Harabasz: 192.33684270199856	Davies-Bouldin: 1.5610004713765375
VarianceThreshold+PCA	GMM	Silhouette: -0.10464791890918543	Calinski-Harabasz: 178.1925473171108	Davies-Bouldin: 3.795305172733613
Autoencoder	KMeans	Silhouette: 0.18409769237041473	Calinski-Harabasz: 897.0015258789062	Davies-Bouldin: 1.8256164901545975
Autoencoder	Agglomerative	Silhouette: 0.1466810703277588	Calinski-Harabasz: 645.227294921875	Davies-Bouldin: 1.7468989591488067
Autoencoder	DBSCAN	Silhouette: 0.15605787932872772	Calinski-Harabasz: 168.27110290527344	Davies-Bouldin: 2.1092041004137045
Autoencoder	GMM	Silhouette: -0.12887971103191376	Calinski-Harabasz: 160.09280395507812	Davies-Bouldin: 4.892124459655766
