user_id,num_nodes,num_edges,num_self_loops,cat_Arts & Entertainment,cat_College & University,cat_Food,cat_Great Outdoors,cat_Nightlife Spot,cat_Professional & Other Places,cat_Residence,cat_Shop & Service,cat_Travel & Transport,degree_Arts & Entertainment,degree_College & University,degree_Food,degree_Great Outdoors,degree_Nightlife Spot,degree_Professional & Other Places,degree_Residence,degree_Shop & Service,degree_Travel & Transport,total_distance,mean_distance,max_distance,min_distance
215458,7,21,3,0,0,0,0,0,0,0,0,0,2,0,7,1,0,1,0,5,3,156.1214579585441,3.630731580431259,16.874553787632085,0.0
200954,6,15,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,2,6,145.77832227345183,3.9399546560392387,13.677738331761761,0.042057727216397896
96788,9,41,5,0,0,0,0,0,0,0,0,0,5,5,8,3,0,4,1,7,6,302.5616627476819,3.0561784115927475,16.9936819740328,0.0
8273,9,47,6,0,0,0,0,0,0,0,0,0,7,3,8,3,6,7,0,6,6,1133.132684602604,5.751942561434546,26.146232619554173,0.0
191064,6,24,4,0,0,0,0,0,0,0,0,0,5,0,6,0,1,3,0,5,4,277.2336358128436,5.2308233172234635,14.831265084171722,0.0
201374,6,14,2,0,0,0,0,0,0,0,0,0,1,0,4,1,0,5,0,1,2,101.45899729996148,3.7577406407393132,14.31601908237019,0.0
125516,7,18,3,0,0,0,0,0,0,0,0,0,2,0,3,1,1,4,0,6,1,277.970144966608,5.450394999345254,17.11784413393634,0.012316745213211128
141426,5,22,4,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,0,5,5,140.85331607968348,1.929497480543609,16.661852541453214,0.0
77196,5,9,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,1,1,259.42763439922777,6.827043010505994,14.020682158970567,0.0
225593,8,27,3,0,0,0,0,0,0,0,0,0,2,6,5,1,2,2,0,6,3,247.7109011469706,4.198489849948656,12.402520176864376,0.0
92890,10,35,5,0,0,0,0,0,0,0,0,0,2,4,9,2,2,3,3,7,2,281.5759181698883,2.607184427498967,15.753900458260143,0.0
14174,6,18,2,0,0,0,0,0,0,0,0,0,3,1,3,0,0,2,0,4,5,775.367816405357,3.089114806395846,13.995887923704327,0.0
36819,7,27,5,0,0,0,0,0,0,0,0,0,4,1,6,4,0,4,0,7,1,1066.8229982060861,5.797951077206985,21.78403337939161,0.0
13131,6,18,3,0,0,0,0,0,0,0,0,0,1,4,3,0,0,1,0,4,5,81.96705433953642,0.999598223652883,15.548871847700804,0.0
139277,8,28,5,0,0,0,0,0,0,0,0,0,2,0,5,2,1,4,0,7,4,222.56241414616417,3.9743288240386456,18.809752844611996,0.0
238389,8,25,2,0,0,0,0,0,0,0,0,0,2,0,4,8,3,3,0,2,2,528.4795867892416,6.68961502264863,20.054492587713334,0.0
238886,8,24,2,0,0,0,0,0,0,0,0,0,3,0,7,1,2,3,0,4,2,397.9896125854651,5.940143471424853,24.34808503169829,0.031928436659619516
140609,7,36,4,0,0,0,0,0,0,0,0,0,5,0,7,3,6,6,0,5,4,287.9049655051027,2.481939357802609,13.441991703566572,0.0
44382,10,32,4,0,0,0,0,0,0,0,0,0,2,1,9,2,2,2,2,7,3,510.58876233431397,4.327023409612831,22.16384727711728,0.0
220176,6,21,4,0,0,0,0,0,0,0,0,0,1,0,2,3,5,0,0,6,4,298.87715012362435,4.151071529494781,17.59093366593782,0.0
170372,6,17,3,0,0,0,0,0,0,0,0,0,1,0,4,5,0,1,0,2,4,49.30050123464574,0.9860100246929149,6.492723772236663,0.0
39404,7,31,5,0,0,0,0,0,0,0,0,0,3,1,6,5,0,6,0,5,5,343.79202293777627,2.1353541797377398,17.413178103708308,0.0
77930,8,15,2,0,0,0,0,0,0,0,0,0,1,0,1,3,1,1,0,3,4,154.4260163046395,5.939462165563057,17.965374630692367,0.0
