poi_id,input_checkins,output_interactions,output_views,output_transactions,output_reviews,input_unique_users,output_unique_users,interaction_diff,user_diff
POI-ID-114d7492,43,43,38,3,2,38,38,0,0
POI-ID-ef4d1d62,34,34,28,3,3,28,28,0,0
POI-ID-687be6a1,13,13,11,2,0,11,11,0,0
POI-ID-80ed47ed,108,108,87,15,6,91,91,0,0
POI-ID-6b6d0969,5,5,5,0,0,5,5,0,0
POI-ID-d92afb82,6,6,5,1,0,5,5,0,0
POI-ID-19c81eff,41,41,35,3,3,36,36,0,0
POI-ID-6101e593,2,2,2,0,0,2,2,0,0
POI-ID-0d239b9f,6,6,6,0,0,6,6,0,0
POI-ID-3cf4e63d,44,44,41,3,0,41,41,0,0
POI-ID-e20d59ad,1,1,1,0,0,1,1,0,0
POI-ID-6c3b8a92,11,11,10,1,0,10,10,0,0
POI-ID-c3003ce3,1,1,1,0,0,1,1,0,0
POI-ID-260580cc,11,11,8,3,0,8,8,0,0
POI-ID-a9af22b1,55,55,40,9,6,33,33,0,0
POI-ID-0d8d1b8d,94,94,83,9,2,83,83,0,0
POI-ID-7861ff6f,9,9,9,0,0,9,9,0,0
POI-ID-864c0c3f,7,7,4,2,1,3,3,0,0
POI-ID-b71cf678,31,31,26,4,1,26,26,0,0
POI-ID-e005f949,97,97,73,19,5,64,64,0,0
POI-ID-dc29d46b,48,48,43,4,1,43,43,0,0
POI-ID-7fb8b925,28,28,21,5,2,19,19,0,0
POI-ID-08acba90,2,2,2,0,0,2,2,0,0
POI-ID-560f6a53,73,73,55,12,6,55,55,0,0
POI-ID-b94108b8,371,371,273,68,30,261,261,0,0
POI-ID-8d437dd0,6,6,4,1,1,4,4,0,0
POI-ID-fbb8ac69,6,6,5,1,0,5,5,0,0
POI-ID-cfb806db,31,31,30,1,0,30,30,0,0
POI-ID-86beaa63,19,19,11,5,3,1,1,0,0
POI-ID-0681c63a,174,174,123,35,16,99,99,0,0
POI-ID-64863d7f,122,122,83,26,13,54,54,0,0
POI-ID-0be9327f,14,14,14,0,0,14,14,0,0
POI-ID-347f8b38,108,107,82,17,8,74,73,-1,-1
POI-ID-2efe38d1,356,356,244,76,36,225,225,0,0
POI-ID-3ace434c,322,322,202,75,45,165,165,0,0
POI-ID-4cb9d85b,70,70,61,8,1,61,61,0,0
POI-ID-382ee813,93,93,74,12,7,67,67,0,0
POI-ID-9b4c8ae9,363,361,274,57,30,259,257,-2,-2
POI-ID-bae9b88c,19,19,17,2,0,17,17,0,0
POI-ID-9ab38630,17,17,15,2,0,15,15,0,0
POI-ID-8e80e0b2,672,672,467,145,60,401,401,0,0
POI-ID-74be89c3,184,184,141,30,13,128,128,0,0
POI-ID-0b6a9241,161,160,132,21,7,126,125,-1,-1
POI-ID-a5345e86,281,281,181,61,39,132,132,0,0
POI-ID-cc620d9b,46,46,40,6,0,40,40,0,0
POI-ID-c8cac02d,38,38,22,11,5,3,3,0,0
POI-ID-abc1d5db,409,409,321,64,24,264,264,0,0
POI-ID-dad8a7a5,4,4,4,0,0,4,4,0,0
POI-ID-610b2594,626,626,389,145,92,260,260,0,0
POI-ID-a7b0d162,81,81,66,13,2,68,68,0,0
POI-ID-02fe84a8,536,535,378,110,47,341,340,-1,-1
POI-ID-74531b02,48,48,46,2,0,46,46,0,0
POI-ID-e70e93b4,149,149,125,14,10,121,121,0,0
POI-ID-6f95790b,538,538,389,107,42,337,337,0,0
POI-ID-17c0b237,33,33,31,1,1,32,32,0,0
POI-ID-a4b0517d,66,66,59,6,1,60,60,0,0
POI-ID-2253c6be,34,34,29,5,0,29,29,0,0
POI-ID-aae4cd91,316,316,210,69,37,175,175,0,0
POI-ID-c05afafc,334,334,234,67,33,217,217,0,0
POI-ID-a54310d1,3,3,3,0,0,3,3,0,0
POI-ID-1a474a3c,34,34,29,4,1,28,28,0,0
POI-ID-9e0c0301,325,325,200,76,49,122,122,0,0
POI-ID-4ac86234,36,36,32,4,0,32,32,0,0
POI-ID-2627c745,518,518,351,119,48,286,286,0,0
POI-ID-53edc552,2,2,2,0,0,2,2,0,0
POI-ID-ee451879,9,9,8,1,0,8,8,0,0
POI-ID-81e66c67,5,5,4,1,0,4,4,0,0
POI-ID-bd2efc7b,10,10,10,0,0,10,10,0,0
POI-ID-c9d5cb15,130,130,100,21,9,97,97,0,0
POI-ID-fbd0d2e4,1,1,1,0,0,1,1,0,0
POI-ID-427733dc,8,8,6,2,0,6,6,0,0
POI-ID-069193d9,440,440,294,97,49,257,257,0,0
POI-ID-09e04717,13,13,12,1,0,12,12,0,0
POI-ID-77fa25cb,10,10,10,0,0,10,10,0,0
