original_category,group_category
Indian Restaurant,Restaurant
Chinese Restaurant,Restaurant
Italian Restaurant,Restaurant
Japanese Restaurant,Restaurant
Thai Restaurant,Restaurant
French Restaurant,Restaurant
Mexican Restaurant,Restaurant
Korean Restaurant,Restaurant
Vietnamese Restaurant,Restaurant
Mediterranean Restaurant,Restaurant
American Restaurant,Restaurant
Seafood Restaurant,Restaurant
Steakhouse,Restaurant
Vegetarian / Vegan Restaurant,Restaurant
Fast Food Restaurant,Fast Food
Burger Joint,Fast Food
Pizza Place,Fast Food
Sandwich Place,Fast Food
Coffee Shop,Cafe
Café,Cafe
Tea Room,Cafe
Bar,Bar
Cocktail Bar,Bar
Wine Bar,Bar
Beer Bar,Bar
Dive Bar,Bar
Sports Bar,Bar
Pub,Bar
Nightclub,Nightlife
Lounge,Nightlife
Karaoke Bar,Nightlife
Shopping Mall,Shopping
Clothing Store,Shopping
Shoe Store,Shopping
Electronics Store,Shopping
Bookstore,Shopping
Convenience Store,Shopping
Grocery Store,Shopping
Supermarket,Shopping
Park,Outdoors & Recreation
Beach,Outdoors & Recreation
Hiking Trail,Outdoors & Recreation
Gym,Outdoors & Recreation
Gym / Fitness Center,Outdoors & Recreation
Sports Club,Outdoors & Recreation
Stadium,Outdoors & Recreation
Hotel,Travel & Transport
Airport,Travel & Transport
Train Station,Travel & Transport
Bus Station,Travel & Transport
Subway Station,Travel & Transport
Museum,Arts & Entertainment
Art Gallery,Arts & Entertainment
Movie Theater,Arts & Entertainment
Theater,Arts & Entertainment
Concert Hall,Arts & Entertainment
Office,Professional & Other
Coworking Space,Professional & Other
School,Professional & Other
University,Professional & Other
Library,Professional & Other
Hospital,Professional & Other
Pharmacy,Professional & Other
