POI Category,Avg Check-ins per Day
Concert Hall,1.0
Home (private),1.3333333333333333
Record Shop,1.0
Rock Club,1.0
Animal Shelter,1.0
Korean Restaurant,1.0
Residential Building (Apartment / Condo),1.0
Convenience Store,1.0
Resort,1.0
Other Nightlife,1.0
Food Court,1.1
Caf,1.0
Bed & Breakfast,1.0
Candy Store,1.0
Rest Area,1.0
Hotel Pool,1.0
Field,1.0
Building,1.1428571428571428
Antique Shop,1.0
Arcade,1.0
Event Space,1.1111111111111112
Bridge,1.5
Theme Park,1.3333333333333333
Fried Chicken Joint,1.6666666666666667
Burger Joint,1.0
Middle Eastern Restaurant,1.0666666666666667
Sculpture Garden,1.0
Sorority House,1.0
Mountain,1.0
Miscellaneous Shop,1.0
Surf Spot,1.0
Music Store,1.0
Basketball Court,1.0
Nightclub,1.0
Brewery,1.0
Strip Club,1.0
Gym,1.0
Garden,1.0
Planetarium,1.0
Hiking Trail,1.0
Hospital,1.3333333333333333
Bookstore,1.0
Campground,1.0
Paper / Office Supplies Store,1.0
Cemetery,1.0
Monument / Landmark,1.0
Video Store,1.1111111111111112
Martial Arts Dojo,1.1666666666666667
Breakfast Spot,1.0
College & University,1.0
Bus Line,1.0
Mall,1.0
Bank,1.0
Ramen /  Noodle House,1.0
Tech Startup,1.0
General Entertainment,1.0
Grocery Store,1.0
College Lab,1.0
Coffee Shop,1.25
Train Station,1.0
High School,1.0
Athletic & Sport,1.0
Food Truck,1.0
Japanese Restaurant,1.0
Office,1.0
Mexican Restaurant,1.0
Racetrack,1.0
Scenic Lookout,1.0
Hotel,1.0
Multiplex,1.0
Church,1.0
Coworking Space,1.0
Restaurant,1.0
Bus Station,1.0
College Auditorium,1.0
Steakhouse,1.0
Asian Restaurant,1.25
Snack Place,1.0
Government Building,1.0
Sushi Restaurant,1.0
Bike Shop,1.0
Salon / Barbershop,1.0
Fast Food Restaurant,1.0
College Quad,1.0
Indian Restaurant,1.0
Soccer Field,1.0
Movie Theater,1.0
Pool,1.0
Neighborhood,1.0
Housing Development,1.0
Playground,1.0
Diner,2.0
Vegetarian / Vegan Restaurant,1.5
Mosque,1.0
Ice Cream Shop,4.0
Video Game Store,1.0
