POI Category,Avg Check-ins per Day
Breakfast Spot,1.0
Office,1.5333333333333334
Subway,1.3125
Train Station,2.619047619047619
Mall,1.4333333333333333
Food Court,1.0
Tea Room,1.0
Conference Room,1.0
Cafeteria,1.1428571428571428
Hotel,1.3333333333333333
Burger Joint,1.0
Chinese Restaurant,1.0
Shoe Store,1.0
Drugstore / Pharmacy,1.0
Coffee Shop,1.0
Miscellaneous Shop,1.0
Bookstore,1.5
Road,1.0
Clothing Store,1.0
Electronics Store,1.3333333333333333
Coworking Space,1.0
Church,1.0
Art Museum,1.0
Building,1.0
Sandwich Place,1.0
Music Venue,1.0
Park,1.0
Bridge,1.0
Lake,1.0
Caf,1.0
Tourist Information Center,1.0
Garden,1.0
Convenience Store,1.0
Pet Store,1.0
Accessories Store,1.0
Roof Deck,1.0
Boutique,1.0
Department Store,1.0
Cosmetics Shop,1.0
Light Rail,2.0
Island,1.0
Resort,1.0
Theme Park,9.0
Performing Arts Venue,1.0
General Entertainment,1.0
Airport,1.0
Event Space,1.0
Women's Store,1.0
Fried Chicken Joint,1.0
Dessert Shop,1.0
Bank,2.0
Asian Restaurant,1.5
Italian Restaurant,2.0
Fast Food Restaurant,1.0
Bar,1.0
Restaurant,1.0
Neighborhood,1.0
Food Truck,1.0
Multiplex,1.0
Bakery,1.0
