POI Category,Avg Check-ins per Day
Community College,1.0172413793103448
Fried Chicken Joint,1.0
Home (private),1.024390243902439
Ramen /  Noodle House,1.0
Coffee Shop,1.0833333333333333
Bike Shop,2.0
Grocery Store,1.0833333333333333
Food Court,1.0
Dim Sum Restaurant,1.0
Bus Station,1.5
Asian Restaurant,1.173913043478261
Parking,1.0909090909090908
Fast Food Restaurant,1.0
Library,1.0
Restaurant,1.0
Indian Restaurant,1.0
Bakery,1.0
Thrift / Vintage Store,1.0
Drugstore / Pharmacy,1.1666666666666667
Doctor's Office,1.0
Shop & Service,1.0
Department Store,1.0
Chinese Restaurant,1.0
Mall,1.0
Miscellaneous Shop,1.0
Salon / Barbershop,1.0
Residential Building (Apartment / Condo),1.0
Dog Run,1.0
Pet Store,1.0
Bookstore,1.0
Furniture / Home Store,1.0
Event Space,1.0
Bank,1.0
Convenience Store,1.0
Building,1.0
Playground,1.0
Other Great Outdoors,1.5
French Restaurant,1.0
Gym,1.0
Nursery School,1.0
Dance Studio,1.0
Train Station,2.0
Plaza,1.0
Subway,1.0
Pool,1.0
Brewery,1.0
Bridal Shop,1.0
Hospital,1.0
Vegetarian / Vegan Restaurant,1.0
Medical Center,1.0
Burger Joint,1.0
Tourist Information Center,1.0
Sushi Restaurant,1.0
Thai Restaurant,1.0
School,1.0
Kids Store,1.0
Bus Line,1.0
American Restaurant,1.0
Seafood Restaurant,1.0
Japanese Restaurant,1.0
Spa / Massage,1.0
Juice Bar,1.0
Office,1.0
Bar,1.0
