Cluster,Size,Method,Dimensions_Fitted,Average_RSS,Best_Distribution,Best_RSS,Size_Percentage,Fit_Success_Rate
0,99,distribution_fitting,60,0.10552384805252046,t,0.024085696957122437,4.95,60.61
1,9,random_sampling,0,,N/A,,0.45,0.0
2,52,distribution_fitting,60,0.03330310607694221,t,0.006426105001494884,2.6,115.38
3,191,distribution_fitting,60,0.14636802758988848,t,0.0374972424647291,9.55,31.41
4,60,distribution_fitting,60,0.10507504083027208,genextreme,0.012292400402879239,3.0,100.0
5,65,distribution_fitting,60,0.0691179122497799,dweibull,0.014714184571521323,3.25,92.31
6,98,distribution_fitting,0,,N/A,,4.9,0.0
7,23,random_sampling,0,,N/A,,1.15,0.0
8,100,distribution_fitting,60,0.046096712838442286,t,0.012647051414147882,5.0,60.0
9,170,distribution_fitting,57,0.43247556831342776,t,0.1018475881255733,8.5,33.53
10,100,distribution_fitting,60,0.07574234475159994,laplace,0.020436036935603596,5.0,60.0
11,64,distribution_fitting,60,0.028622885925868858,genextreme,0.007709185034609942,3.2,93.75
12,38,random_sampling,0,,N/A,,1.9,0.0
13,123,distribution_fitting,60,0.20621645925665685,loggamma,0.02644793442199429,6.15,48.78
14,43,random_sampling,0,,N/A,,2.15,0.0
15,73,distribution_fitting,60,0.04778339709063824,t,0.006114317185667138,3.65,82.19
16,120,distribution_fitting,1,1.1242166134418712,laplace,1.1242166134418712,6.0,0.83
17,64,distribution_fitting,60,0.12401624370431501,t,0.016189302818426093,3.2,93.75
18,77,distribution_fitting,60,0.1340849254558643,t,0.027248414333521542,3.85,77.92
19,431,distribution_fitting,0,,N/A,,21.55,0.0
