user_id,place_id,datetime,timezone,lat,lon,cluster_id,sampled_count,planning_area,category
203821,4e46e095183849317e7cfb58,Tue Apr 03 19:51:02 +0000 2012,480,1.306273,103.826466,0,1,ORCHARD,Nightclub
203821,4eca6e83be7ba4fc71d9c8a6,Tue Apr 03 20:00:36 +0000 2012,480,1.306302,103.828054,0,1,ORCHARD,Nightclub
33397,4c1c6efbb306c92883f263b7,Tue Apr 03 22:37:28 +0000 2012,480,1.354713,103.989186,0,1,CHANGI,Bookstore
12764,4c6b7e759669e21e5a3fab51,Tue Apr 03 23:09:31 +0000 2012,480,1.351238,103.885245,0,1,HOUGANG,High School
14922,4c80301447cc224b59e9709f,Tue Apr 03 23:19:43 +0000 2012,480,1.301628,103.765451,0,1,CLEMENTI,High School
59342,4ca2afeb7f84224bc8ccbe58,Wed Apr 04 01:37:42 +0000 2012,480,1.324254,103.897953,0,1,GEYLANG,Coworking Space
244491,4d266bd2849f37041fed5e41,Wed Apr 04 02:49:53 +0000 2012,480,1.332798,103.964754,0,1,TAMPINES,Coffee Shop
123770,4d92d4349213b1f70cc1ba46,Wed Apr 04 03:44:21 +0000 2012,480,1.335733,103.888128,0,1,HOUGANG,Subway
123770,4b058815f964a520acb022e3,Wed Apr 04 04:33:07 +0000 2012,480,1.291128,103.857708,0,1,DOWNTOWN CORE,Mall
41964,4b13fe99f964a520659b23e3,Wed Apr 04 04:43:16 +0000 2012,480,1.280684,103.850345,0,1,DOWNTOWN CORE,Food Court
244491,4e925263e5fa72f70fba5010,Wed Apr 04 05:23:47 +0000 2012,480,1.33452,103.9624,0,1,TAMPINES,Mall
244491,4eb372c77ee5024d7e28ad3c,Wed Apr 04 05:24:36 +0000 2012,480,1.334357,103.962631,0,1,TAMPINES,Coffee Shop
244491,4b18e995f964a52079d623e3,Wed Apr 04 05:27:20 +0000 2012,480,1.334504,103.961542,0,1,TAMPINES,Train Station
12764,4e14eb99d22d026fa76a04ab,Wed Apr 04 05:31:20 +0000 2012,480,1.350982,103.885086,0,1,HOUGANG,College Cafeteria
