Cluster,Size,Method,Dimensions_Fitted,Average_RSS,Best_Distribution,Best_RSS,Size_Percentage,Fit_Success_Rate
0,99,distribution_fitting,0,,N/A,,14.14,0.0
1,53,distribution_fitting,59,0.6085058292809182,laplace,0.04680264111915173,7.57,111.32
2,38,random_sampling,0,,N/A,,5.43,0.0
3,7,random_sampling,0,,N/A,,1.0,0.0
4,42,random_sampling,0,,N/A,,6.0,0.0
5,21,random_sampling,0,,N/A,,3.0,0.0
6,4,random_sampling,0,,N/A,,0.57,0.0
7,36,random_sampling,0,,N/A,,5.14,0.0
8,34,random_sampling,0,,N/A,,4.86,0.0
9,54,distribution_fitting,58,0.8362344662425888,laplace,0.12255792093683698,7.71,107.41
10,43,random_sampling,0,,N/A,,6.14,0.0
11,40,random_sampling,0,,N/A,,5.71,0.0
12,4,random_sampling,0,,N/A,,0.57,0.0
13,33,random_sampling,0,,N/A,,4.71,0.0
14,52,distribution_fitting,60,0.315822752582425,t,0.029492834836287767,7.43,115.38
15,24,random_sampling,0,,N/A,,3.43,0.0
16,43,random_sampling,0,,N/A,,6.14,0.0
17,11,random_sampling,0,,N/A,,1.57,0.0
18,41,random_sampling,0,,N/A,,5.86,0.0
19,21,random_sampling,0,,N/A,,3.0,0.0
