num_users,num_checkins,top_poi_categories,mean_lat,mean_lon,hour_peak,day_peak
50,4916,"Food Court, Nightclub, Fast Food Restaurant, Chinese Restaurant, Multiplex, Coffee Shop, Japanese Restaurant, Department Store, Asian Restaurant, Flea Market",1.3141891061838895,103.86208437103336,11,Friday
4,196,"Fast Food Restaurant, Coffee Shop, Japanese Restaurant, Food Court, Restaurant, Bar, Seafood Restaurant, Tea Room, Pizza Place, Multiplex",1.317850051020408,103.87014071428571,8,Saturday
26,5422,"Multiplex, Coffee Shop, Food Court, Fast Food Restaurant, Nightclub, Chinese Restaurant, Ice Cream Shop, Light Rail, Japanese Restaurant, Asian Restaurant",1.3123226119513094,103.86821862578385,10,Friday
96,11493,"Food Court, Fast Food Restaurant, Coffee Shop, Chinese Restaurant, Multiplex, Japanese Restaurant, Asian Restaurant, Grocery Store, Department Store, Cosmetics Shop",1.3156533254154703,103.86495803645698,10,Saturday
30,4890,"Nightclub, Food Court, Fast Food Restaurant, Coffee Shop, Multiplex, Chinese Restaurant, Gym, Asian Restaurant, Department Store, Boutique",1.3230705486707566,103.88528778425358,10,Friday
32,4618,"Food Court, Nightclub, Multiplex, Chinese Restaurant, Coffee Shop, Fast Food Restaurant, Asian Restaurant, Boutique, Furniture / Home Store, Japanese Restaurant",1.3127915448245995,103.85907853876137,9,Saturday
49,4829,"Food Court, Fast Food Restaurant, Chinese Restaurant, Coffee Shop, Grocery Store, Asian Restaurant, Department Store, Tea Room, Mediterranean Restaurant, Resort",1.3216702520190515,103.86948118119695,10,Saturday
12,3882,"Nightclub, Food Court, Park, Chinese Restaurant, Fast Food Restaurant, Multiplex, Gym, Coffee Shop, Bar, Tea Room",1.3013470574446164,103.85121731349821,11,Saturday
50,6841,"Food Court, Coffee Shop, Fast Food Restaurant, Multiplex, Chinese Restaurant, Nightclub, Gym, Asian Restaurant, Japanese Restaurant, Fried Chicken Joint",1.3158703012717439,103.86698616371875,11,Friday
85,8776,"Food Court, Fast Food Restaurant, Coffee Shop, Chinese Restaurant, Multiplex, Asian Restaurant, Department Store, Fried Chicken Joint, Japanese Restaurant, Grocery Store",1.3179787162716499,103.87195752654968,11,Saturday
50,7673,"Food Court, Chinese Restaurant, Coffee Shop, Fast Food Restaurant, Nightclub, Multiplex, Asian Restaurant, Convenience Store, Gym, Dessert Shop",1.3106260370129021,103.85296353772969,11,Saturday
32,4929,"Nightclub, Food Court, Chinese Restaurant, Coffee Shop, Fast Food Restaurant, Multiplex, Gym, Japanese Restaurant, Flea Market, Ramen /  Noodle House",1.313345599107324,103.86610371637248,11,Friday
19,1597,"Food Court, Coffee Shop, Fast Food Restaurant, Chinese Restaurant, Japanese Restaurant, Department Store, Tea Room, Asian Restaurant, Grocery Store, Multiplex",1.3138468065122104,103.85960747964934,10,Sunday
62,5283,"Food Court, Fast Food Restaurant, Coffee Shop, Chinese Restaurant, Multiplex, Asian Restaurant, Ice Cream Shop, Grocery Store, Tea Room, Restaurant",1.3151537437062275,103.8581000374787,11,Saturday
22,3753,"Nightclub, Coffee Shop, Multiplex, Food Court, Chinese Restaurant, Fast Food Restaurant, Thai Restaurant, Plaza, Pub, Dessert Shop",1.3085132909672264,103.85848851931789,11,Friday
36,5063,"Food Court, Nightclub, Multiplex, Coffee Shop, Chinese Restaurant, Fast Food Restaurant, Asian Restaurant, Furniture / Home Store, Japanese Restaurant, Shoe Store",1.3158276987951807,103.87547757475805,11,Saturday
60,6792,"Coffee Shop, Food Court, Fast Food Restaurant, Chinese Restaurant, Grocery Store, Asian Restaurant, Tea Room, Park, Multiplex, Dessert Shop",1.3204637879858658,103.86415777134864,10,Saturday
32,4934,"Nightclub, Food Court, Fast Food Restaurant, Multiplex, Gym, Restaurant, Chinese Restaurant, Video Store, Video Game Store, Spa / Massage",1.328021292865829,103.88307531576814,10,Saturday
38,6491,"Coffee Shop, Food Court, Fast Food Restaurant, Clothing Store, Multiplex, Boutique, Nightclub, Park, Chinese Restaurant, Asian Restaurant",1.3248074518564166,103.88586085379757,10,Friday
215,17820,"Food Court, Fast Food Restaurant, Coffee Shop, Chinese Restaurant, Asian Restaurant, Gym, Department Store, Japanese Restaurant, Nightclub, Grocery Store",1.3168835471941638,103.86951815190797,11,Saturday
