place_id,poiId,category,subcategory
4b05880bf964a52000ae22e3,POI-1,Wine Bar,
4b05880bf964a52004ae22e3,POI-2,Bar,
4b05880bf964a520cfad22e3,POI-4,Resort,
4b05880bf964a520e5ad22e3,POI-4,Resort,
4b05880bf964a520e6ad22e3,POI-4,Resort,
4b05880bf964a520efad22e3,POI-4,Resort,
4b05880bf964a520f1ad22e3,POI-5,Gaming Cafe,
4b05880bf964a520f2ad22e3,POI-6,Tea Room,
4b05880bf964a520f3ad22e3,POI-7,American Restaurant,
4b05880bf964a520f4ad22e3,POI-8,Gastropub,
4b05880bf964a520faad22e3,POI-2,Bar,
4b05880bf964a520fbad22e3,POI-9,Rock Club,
4b05880bf964a520fdad22e3,POI-10,Coffee Shop,
4b05880cf964a5200dae22e3,POI-2,Bar,
4b05880cf964a5200eae22e3,POI-11,Nightclub,
4b05880cf964a5201cae22e3,POI-10,Coffee Shop,
4b05880cf964a5201fae22e3,POI-13,Diner,
4b05880cf964a52021ae22e3,POI-14,Pub,
4b05880cf964a52027ae22e3,POI-11,Nightclub,
4b05880cf964a5202aae22e3,POI-14,Pub,
4b05880cf964a5202eae22e3,POI-15,Cocktail Bar,
4b05880cf964a52030ae22e3,POI-11,Nightclub,
4b05880cf964a52033ae22e3,POI-2,Bar,
4b05880cf964a52035ae22e3,POI-15,Cocktail Bar,
4b05880cf964a52039ae22e3,POI-11,Nightclub,
4b05880cf964a52046ae22e3,POI-9,Rock Club,
4b05880cf964a52047ae22e3,POI-16,Australian Restaurant,
4b05880cf964a52048ae22e3,POI-17,Chinese Restaurant,
4b05880df964a5204aae22e3,POI-18,Indian Restaurant,
4b05880df964a5204dae22e3,POI-19,French Restaurant,
4b05880df964a52051ae22e3,POI-6,Tea Room,
4b05880df964a52054ae22e3,POI-20,Spanish Restaurant,
4b05880df964a52057ae22e3,POI-2,Bar,
4b05880df964a52058ae22e3,POI-15,Cocktail Bar,
4b05880df964a52064ae22e3,POI-11,Nightclub,
4b05880df964a52065ae22e3,POI-11,Nightclub,
4b05880df964a5206aae22e3,POI-11,Nightclub,
4b05880df964a5206bae22e3,POI-11,Nightclub,
4b05880df964a5206fae22e3,POI-11,Nightclub,
4b05880df964a52075ae22e3,POI-15,Cocktail Bar,
4b05880df964a5207cae22e3,POI-2,Bar,
4b05880df964a5207dae22e3,POI-2,Bar,
4b05880df964a52081ae22e3,POI-2,Bar,
4b05880df964a52084ae22e3,POI-21,Lounge,
4b05880df964a52086ae22e3,POI-2,Bar,
4b05880df964a52087ae22e3,POI-1,Wine Bar,
4b05880df964a52088ae22e3,POI-9,Rock Club,
4b05880df964a5208aae22e3,POI-19,French Restaurant,
4b05880ef964a52093ae22e3,POI-22,Dessert Shop,
4b05880ef964a5209fae22e3,POI-23,Jazz Club,
4b05880ef964a520b3ae22e3,POI-24,Malaysian Restaurant,
4b05880ef964a520b5ae22e3,POI-25,Zoo,
4b05880ef964a520bbae22e3,POI-26,Park,
4b05880ef964a520c0ae22e3,POI-27,Art Gallery,
4b05880ef964a520d6ae22e3,POI-28,Plaza,
4b05880ef964a520dcae22e3,POI-29,Aquarium,
4b05880ff964a52026af22e3,POI-26,Park,
4b058810f964a52036af22e3,POI-26,Park,
4b058810f964a52040af22e3,POI-30,Water Park,
4b058810f964a52074af22e3,POI-25,Zoo,
4b058810f964a5207daf22e3,POI-27,Art Gallery,
4b058811f964a52086af22e3,POI-27,Art Gallery,
4b058811f964a52093af22e3,POI-27,Art Gallery,
4b058811f964a5209caf22e3,POI-7,American Restaurant,
4b058811f964a5209daf22e3,POI-31,Mexican Restaurant,
4b058811f964a5209faf22e3,POI-7,American Restaurant,
4b058811f964a520a1af22e3,POI-19,French Restaurant,
4b058811f964a520a3af22e3,POI-32,Pizza Place,
4b058811f964a520a4af22e3,POI-18,Indian Restaurant,
4b058811f964a520a5af22e3,POI-33,Italian Restaurant,
4b058811f964a520a6af22e3,POI-33,Italian Restaurant,
4b058811f964a520a9af22e3,POI-34,Mediterranean Restaurant,
4b058812f964a520b0af22e3,POI-17,Chinese Restaurant,
4b058812f964a520b2af22e3,POI-17,Chinese Restaurant,
4b058812f964a520b3af22e3,POI-17,Chinese Restaurant,
4b058812f964a520b5af22e3,POI-17,Chinese Restaurant,
4b058812f964a520b8af22e3,POI-17,Chinese Restaurant,
4b058812f964a520bcaf22e3,POI-35,Dim Sum Restaurant,
4b058812f964a520beaf22e3,POI-17,Chinese Restaurant,
4b058812f964a520c0af22e3,POI-17,Chinese Restaurant,
4b058812f964a520c3af22e3,POI-18,Indian Restaurant,
4b058812f964a520c9af22e3,POI-36,Asian Restaurant,
4b058812f964a520caaf22e3,POI-37,Thai Restaurant,
4b058812f964a520d2af22e3,POI-38,Middle Eastern Restaurant,
4b058812f964a520d5af22e3,POI-37,Thai Restaurant,
4b058812f964a520d7af22e3,POI-39,Restaurant,
4b058812f964a520d8af22e3,POI-40,Seafood Restaurant,
4b058812f964a520dbaf22e3,POI-39,Restaurant,
4b058812f964a520deaf22e3,POI-18,Indian Restaurant,
4b058812f964a520e5af22e3,POI-41,Ramen /  Noodle House,
4b058812f964a520e8af22e3,POI-42,Food Court,
4b058812f964a520e9af22e3,POI-36,Asian Restaurant,
4b058812f964a520eeaf22e3,POI-33,Italian Restaurant,
4b058812f964a520efaf22e3,POI-40,Seafood Restaurant,
4b058812f964a520f0af22e3,POI-19,French Restaurant,
4b058812f964a520f1af22e3,POI-31,Mexican Restaurant,
4b058812f964a520f2af22e3,POI-33,Italian Restaurant,
4b058812f964a520f4af22e3,POI-17,Chinese Restaurant,
4b058812f964a520f8af22e3,POI-39,Restaurant,
4b058812f964a520fbaf22e3,POI-7,American Restaurant,
4b058812f964a520fcaf22e3,POI-43,Vegetarian / Vegan Restaurant,
4b058812f964a520fdaf22e3,POI-17,Chinese Restaurant,
4b058813f964a52002b022e3,POI-33,Italian Restaurant,
4b058813f964a52004b022e3,POI-16,Australian Restaurant,
4b058813f964a52006b022e3,POI-33,Italian Restaurant,
4b058813f964a5200cb022e3,POI-19,French Restaurant,
4b058813f964a5200db022e3,POI-36,Asian Restaurant,
4b058813f964a52016b022e3,POI-33,Italian Restaurant,
4b058813f964a5201ab022e3,POI-19,French Restaurant,
4b058813f964a5201db022e3,POI-17,Chinese Restaurant,
4b058813f964a5201eb022e3,POI-44,Burger Joint,
4b058813f964a52024b022e3,POI-40,Seafood Restaurant,
4b058813f964a52025b022e3,POI-45,Indonesian Restaurant,
4b058813f964a52029b022e3,POI-33,Italian Restaurant,
4b058813f964a5202ab022e3,POI-17,Chinese Restaurant,
4b058813f964a5202cb022e3,POI-39,Restaurant,
4b058813f964a5202db022e3,POI-17,Chinese Restaurant,
4b058813f964a52031b022e3,POI-39,Restaurant,
4b058813f964a52034b022e3,POI-46,Japanese Restaurant,
4b058813f964a52038b022e3,POI-17,Chinese Restaurant,
4b058813f964a5203ab022e3,POI-19,French Restaurant,
4b058813f964a5203eb022e3,POI-33,Italian Restaurant,
4b058813f964a52043b022e3,POI-40,Seafood Restaurant,
4b058813f964a52046b022e3,POI-39,Restaurant,
4b058813f964a5204ab022e3,POI-46,Japanese Restaurant,
4b058813f964a5204cb022e3,POI-18,Indian Restaurant,
4b058813f964a5204db022e3,POI-37,Thai Restaurant,
4b058813f964a52050b022e3,POI-36,Asian Restaurant,
4b058813f964a52051b022e3,POI-47,South American Restaurant,
4b058813f964a52052b022e3,POI-18,Indian Restaurant,
4b058814f964a52055b022e3,POI-18,Indian Restaurant,
4b058814f964a52056b022e3,POI-36,Asian Restaurant,
4b058814f964a52059b022e3,POI-36,Asian Restaurant,
4b058814f964a5205cb022e3,POI-18,Indian Restaurant,
4b058814f964a5205eb022e3,POI-39,Restaurant,
4b058814f964a5205fb022e3,POI-36,Asian Restaurant,
4b058814f964a52064b022e3,POI-18,Indian Restaurant,
4b058814f964a52069b022e3,POI-38,Middle Eastern Restaurant,
4b058814f964a5206bb022e3,POI-42,Food Court,
4b058814f964a5206fb022e3,POI-27,Art Gallery,
4b058814f964a52070b022e3,POI-27,Art Gallery,
4b058814f964a52071b022e3,POI-48,Theater,
4b058814f964a52073b022e3,POI-48,Theater,
4b058814f964a52078b022e3,POI-48,Theater,
4b058814f964a5207ab022e3,POI-48,Theater,
4b058814f964a5207eb022e3,POI-49,Multiplex,
4b058814f964a5207fb022e3,POI-49,Multiplex,
4b058814f964a52080b022e3,POI-49,Multiplex,
4b058814f964a52081b022e3,POI-49,Multiplex,
4b058814f964a52087b022e3,POI-49,Multiplex,
4b058814f964a52092b022e3,POI-50,Movie Theater,
4b058814f964a52095b022e3,POI-51,Indie Movie Theater,
4b058814f964a52097b022e3,POI-48,Theater,
4b058814f964a52099b022e3,POI-52,Arts & Crafts Store,
4b058815f964a520a8b022e3,POI-53,Department Store,
4b058815f964a520b3b022e3,POI-53,Department Store,
4b058815f964a520b6b022e3,POI-54,Clothing Store,
4b058815f964a520bab022e3,POI-53,Department Store,
4b058815f964a520bbb022e3,POI-55,Sporting Goods Shop,
4b058816f964a52016b122e3,POI-56,Cosmetics Shop,
4b058816f964a5202fb122e3,POI-55,Sporting Goods Shop,
4b058816f964a520edb022e3,POI-54,Clothing Store,
4b058816f964a520f1b022e3,POI-57,Miscellaneous Shop,
4b058816f964a520f9b022e3,POI-58,Accessories Store,
4b058817f964a52047b122e3,POI-54,Clothing Store,
4b058817f964a5204eb122e3,POI-59,Men'S Store,
4b058817f964a52053b122e3,POI-60,Automotive Shop,
4b058817f964a5205bb122e3,POI-58,Accessories Store,
4b058817f964a52061b122e3,POI-61,Shoe Store,
4b058817f964a52062b122e3,POI-53,Department Store,
4b058817f964a52064b122e3,POI-62,Jewelry Store,
4b058817f964a52068b122e3,POI-63,Bakery,
4b058817f964a5206fb122e3,POI-64,New American Restaurant,
4b058817f964a5207ab122e3,POI-58,Accessories Store,
4b058818f964a52083b122e3,POI-65,Women'S Store,
4b058818f964a52084b122e3,POI-65,Women'S Store,
4b058818f964a52086b122e3,POI-53,Department Store,
4b058818f964a52091b122e3,POI-66,Grocery Store,
4b058818f964a5209fb122e3,POI-57,Miscellaneous Shop,
4b058818f964a520a2b122e3,POI-42,Food Court,
4b058818f964a520a5b122e3,POI-58,Accessories Store,
4b058818f964a520b3b122e3,POI-58,Accessories Store,
4b058818f964a520c7b122e3,POI-67,Gym,
4b058818f964a520c8b122e3,POI-67,Gym,
4b058818f964a520c9b122e3,POI-67,Gym,
4b058818f964a520ceb122e3,POI-68,Gym / Fitness Center,
4b058819f964a520f7b122e3,POI-68,Gym / Fitness Center,
4b05881af964a52015b222e3,POI-69,Spa / Massage,
4b05881af964a5201db222e3,POI-69,Spa / Massage,
4b05881af964a52028b222e3,POI-69,Spa / Massage,
4b0605b1f964a5209fe722e3,POI-67,Gym,
4b062a5cf964a52060e922e3,POI-10,Coffee Shop,
4b062e06f964a52080e922e3,POI-70,Korean Restaurant,
4b06486ef964a52051ea22e3,POI-71,Climbing Gym,
4b068235f964a52080ec22e3,POI-41,Ramen /  Noodle House,
4b0683f6f964a52098ec22e3,POI-44,Burger Joint,
4b06afa3f964a520a1ee22e3,POI-42,Food Court,
4b0725b5f964a52031f822e3,POI-10,Coffee Shop,
4b078c59f964a520a3fe22e3,POI-67,Gym,
4b07afd3f964a52075ff22e3,POI-26,Park,
4b07dfa8f964a520a70023e3,POI-46,Japanese Restaurant,
4b07e07ff964a520ae0023e3,POI-2,Bar,
4b07e233f964a520bc0023e3,POI-72,Vietnamese Restaurant,
4b07e63cf964a520e40023e3,POI-18,Indian Restaurant,
4b07e7b0f964a520fb0023e3,POI-19,French Restaurant,
4b07e91ff964a520090123e3,POI-38,Middle Eastern Restaurant,
4b07f10ef964a520610123e3,POI-73,Electronics Store,
4b087bc4f964a520cd0c23e3,POI-66,Grocery Store,
4b089ddaf964a5208a0f23e3,POI-74,Fast Food Restaurant,
4b08dec9f964a520041323e3,POI-20,Spanish Restaurant,
4b08e516f964a520311323e3,POI-72,Vietnamese Restaurant,
4b08ff58f964a520c21323e3,POI-57,Miscellaneous Shop,
4b091a2ff964a520401423e3,POI-2,Bar,
4b095021f964a520931523e3,POI-42,Food Court,
4b096aa9f964a520fe1623e3,POI-42,Food Court,
4b09e0a5f964a520111f23e3,POI-35,Dim Sum Restaurant,
4b09ee1af964a520ed1f23e3,POI-42,Food Court,
4b0a2e25f964a5203d2223e3,POI-10,Coffee Shop,
4b0a6729f964a520c72323e3,POI-67,Gym,
4b0a71d7f964a5201a2423e3,POI-49,Multiplex,
4b0a7b55f964a520552423e3,POI-68,Gym / Fitness Center,
4b0b44bff964a520b42f23e3,POI-67,Gym,
4b0b4718f964a520d52f23e3,POI-42,Food Court,
