user_id,input_checkins,output_interactions,output_views,output_transactions,output_reviews,input_unique_pois,output_unique_pois,interaction_diff,poi_diff
21418,30,30,28,1,1,28,28,0,0
49530,87,87,53,22,12,39,39,0,0
82310,48,48,38,6,4,30,30,0,0
56776,121,121,83,26,12,65,65,0,0
105049,10,10,8,1,1,8,8,0,0
174198,41,41,34,5,2,30,30,0,0
203821,69,69,44,18,7,23,23,0,0
64094,10,10,8,1,1,8,8,0,0
24592,78,78,44,18,16,23,23,0,0
259148,30,30,27,2,1,27,27,0,0
201191,16,16,13,2,1,13,13,0,0
259167,7,7,5,1,1,7,7,0,0
7532,161,161,105,36,20,69,69,0,0
198384,20,20,15,3,2,12,12,0,0
221167,42,42,32,8,2,27,27,0,0
47580,62,62,46,11,5,37,37,0,0
4876,85,85,60,17,8,43,43,0,0
22634,87,87,58,20,9,40,40,0,0
1865,90,90,73,15,2,73,73,0,0
67694,36,36,30,4,2,30,30,0,0
12830,120,120,73,33,14,23,23,0,0
106250,31,31,20,8,3,5,5,0,0
33177,66,66,42,16,8,19,19,0,0
10351,75,75,47,19,9,16,16,0,0
13904,137,137,105,22,10,80,80,0,0
4029,344,344,203,83,58,83,83,0,0
30666,138,138,123,11,4,118,118,0,0
10887,20,20,13,4,3,8,8,0,0
84027,67,67,45,15,7,32,32,0,0
50817,94,94,62,24,8,50,50,0,0
4215,109,109,71,26,12,31,31,0,0
60853,91,91,57,23,11,23,23,0,0
244491,30,30,27,2,1,25,25,0,0
377,639,639,418,146,75,201,201,0,0
2391,357,357,222,93,42,90,90,0,0
218184,39,39,27,8,4,13,13,0,0
37636,73,73,52,15,6,41,41,0,0
204008,77,77,46,22,9,5,5,0,0
227594,43,43,41,1,1,39,39,0,0
215286,38,38,28,6,4,24,24,0,0
82417,55,55,34,13,8,17,17,0,0
42910,19,19,16,2,1,14,14,0,0
117085,69,69,57,11,1,57,57,0,0
221155,9,9,7,1,1,9,9,0,0
198613,53,53,45,6,2,44,44,0,0
119692,56,56,51,3,2,49,49,0,0
48739,88,88,59,20,9,32,32,0,0
118368,80,80,75,4,1,75,75,0,0
193361,15,15,12,2,1,14,14,0,0
53467,50,50,40,9,1,40,40,0,0
101860,60,60,44,12,4,41,41,0,0
467,243,243,189,38,16,167,167,0,0
437,114,114,79,21,14,53,53,0,0
75687,88,88,64,16,8,49,49,0,0
14144,153,153,106,28,19,81,81,0,0
68967,35,35,27,6,2,27,27,0,0
